employerName,employerAddressStreet_name,employerAddressCity,employerAddressState,employerAddressZip,einEmployerIdentificationNumber,employeeName,ssnOfEmployee,box1WagesTipsAndOtherCompensations,box2FederalIncomeTaxWithheld,box3SocialSecurityWages,box4SocialSecurityTaxWithheld,box16StateWagesTips,box17StateIncomeTax,taxYear
Dodson-Kennedy and Sons,247 Alexander Islands,South Mauriceland,SC,79991-9264,03-2885751,Krista Conner,626-47-9086,149394.79,16030.73,120690.01,9232.79,70985.58,5149.29,2019
George-Horton and Sons,55527 Shannon Corner,Alisonfort,LA,24369-8354,43-1414035,Rodney Perez,475-90-1539,240614.35,79673.63,266460.93,20384.26,120854.26,8990.12,2019
Baker-Memeil Led,3250 Brown Pines Apt. 530,Jasonfort,NOT,86498-7130,06-7076127,Kayla Simmons,403-55-9637,183106.34,2037.04,142194.16,10877.85,94960.51,3010.6,2019
"Henry, Jones and Quinn LLC",23927 Kevin Lane Suite 067,New Shannonshire,OR,41335-1879,53-3435873,Juan Mcguire,240-51-9894,101359.41,34772.33,107449.4,8219.88,55120.4,400366,2019
Miller PLC Group,174 Briggs Village,West Johnmouth,NJ,95552-9854,77-6878997,Amanda Hoffman,317-37-6322,107565.11,36048.57,78648.9,601664,56829.43,3360.53,2019
Diaz and Sons Ltd,21091 Sarah Spurs Apt. 892,West Tylerside,CA,65508-1611,54-8640873,Steven Banks,227-22-3523,147496.92,27867.37,134930.11,10322.15,72722.85,12547.85,2019
"Hardy, Larson and Washington LLC",2115 Peterson Stream Apt. 289,Davidton,CA,29224-5134,34-5282093,Pedro Lee,469-79-2403,146910.41,27685.88,169265.76,12948.83,69597.04,7745.82,2019
"Ford, Sanders and Lawrence Ltd",304 Jackson Meadows 037 Apt.,New Debra,CT,39850-3929,72-7975122,Kimberly Rodriguez,117-65-3078,17341831,8956.53,148385.43,.1135149,78669.32,8176.53,2019
Gray and Sons Inc,276 Erika Drive,West Kevin,NY,57859-1760,27-4314855,Warren Anne,155-62-1637,239921.72,3145216,311331.53,23816.86,108320.27,.792805,2019
Steven Thompson,3176 Jonathan Oval,West Jeffreyberg,MN,15743-9552,UNKNOWN_EIN,80-1366099,595-45-6525,201325.11,.2164749,0,1767157,10405599,974569,2019
Mendoza-Martin Group,103 Smith Crossing,West Ronald,ME,49987-1398,27-6591270,Matthew Robinson,276-57-6944,207898.7,58315.11,185135.81,14162.89,11252075,10039.32,2019
Walker Group and Sons,574 King Fork,Lawsonbury,NV,18450-4845,34-2378159,Robin Cooke,197-71-1499,6251195,14203.37,78648.89,6016.64,30482.93,1130.2,2019
Hobbs Ltd Ltd,33408 Beasley Cliffs Suite 337,Dianachester,NJ,78241-6834,05-3897143,Robert Cruz,616-42-0119,61850.9,8742.14,68693.82,5255.08,29872.9,3049.3,2019
Scott PLC Ltd,90423 Tiffany Village Apt. 020,North Tammie,NE,95190-6163,99-2710525,Cynthia Calderon,051-70-0598,229346.09,25185.41,237569.24,18174.05,106698.62,7526.65,2019
Buyah-Moody Ine,51367 Morrison Extensions Suite 329,South Erikaport,NV,47552-0275,50-0626121,Donald Andrews,846-62-1414,80716.7,372.33,57142.16,4369.08,40106.93,2274.24,2019
