33,33,215,4,227,21,a,OTHER
35,44,235,3,308,21,Employee's,OTHER
46,51,311,3,349,20,social,OTHER
53,60,352,3,401,20,security,OTHER
62,67,404,3,457,21,number,OTHER
106,110,783,1,819,20,"Safe,",OTHER
112,120,822,3,897,23,"Accurate,",OTHER
140,144,1046,2,1079,19,Visit,OTHER
146,148,1081,4,1103,20,the,OTHER
150,152,1106,4,1133,20,IRS,OTHER
154,160,1136,3,1194,20,Website,OTHER
210,220,314,24,466,47,720-74-9502,ssnOfEmployee
240,242,611,27,642,42,OMB,OTHER
244,246,644,26,669,42,No.,OTHER
248,256,671,25,733,42,1545-0008,OTHER
258,262,780,24,831,44,FAST!,OTHER
264,266,834,25,867,44,Use,OTHER
268,270,912,13,944,38,"""se",OTHER
272,272,955,14,973,39,~,OTHER
274,277,977,15,1025,40,file,OTHER
278,279,1047,28,1061,45,at,OTHER
281,298,1063,28,1182,45,www.irs.gov/efile.,OTHER
300,300,10,55,21,71,b,OTHER
302,309,27,55,84,72,Employer,OTHER
311,324,86,56,159,72,identification,OTHER
326,331,162,55,206,72,number,OTHER
333,337,209,54,241,71,(EIN),OTHER
391,396,704,57,750,72,"Wages,",OTHER
398,402,753,57,780,72,"tips,",OTHER
404,408,782,57,813,72,other,OTHER
410,421,816,56,898,72,compensation,OTHER
432,438,994,55,1038,72,Federal,OTHER
440,445,1041,55,1084,72,income,OTHER
447,449,1086,55,1106,72,tax,OTHER
451,458,1109,56,1155,72,withheld,OTHER
470,479,67,77,208,101,37-3493491,einEmployerIdentificationNumber
557,562,726,78,805,99,41669.,box1WagesTipsAndOtherCompensations
564,565,809,78,835,100,07,box1WagesTipsAndOtherCompensations
591,598,987,78,1096,100,11182.93,box2FederalIncomeTaxWithheld
600,600,12,107,23,123,c,OTHER
602,611,27,107,92,124,Employer's,OTHER
613,617,95,107,134,124,"name,",OTHER
619,626,137,107,187,124,"address,",OTHER
628,630,190,107,212,124,and,OTHER
632,634,215,107,236,124,ZIP,OTHER
636,639,239,106,270,124,code,OTHER
