40,40,505,197,526,228,a,OTHER
42,51,538,196,673,231,Employee's,OTHER
53,58,678,196,748,232,social,OTHER
60,67,753,196,845,232,security,OTHER
69,74,851,196,935,231,number,OTHER
132,136,1586,193,1653,228,"Safe,",OTHER
138,146,1659,196,1794,233,Accurate.,OTHER
182,186,2091,194,2147,228,Visit,OTHER
188,190,2153,195,2197,229,the,OTHER
192,194,2203,195,2253,230,IRS,OTHER
196,202,2259,193,2366,231,Website,OTHER
363,365,1832,218,1946,263,Rev,OTHER
367,370,1957,220,2044,263,file,OTHER
428,438,695,236,983,277,218-87-9793,ssnOfEmployee
478,480,1273,241,1325,272,OMB,OTHER
482,484,1331,242,1371,273,No.,OTHER
486,494,1376,241,1491,274,1545-0008,OTHER
503,507,1581,241,1676,275,FAST!,OTHER
509,510,1681,242,1721,278,Us,OTHER
553,554,2092,239,2115,275,at,OTHER
556,572,2122,240,2341,279,www.irs.gov/efile,OTHER
575,575,114,291,137,323,b,OTHER
577,584,147,291,248,322,Employer,OTHER
586,599,253,290,389,321,identification,OTHER
601,606,395,289,476,320,number,OTHER
608,612,482,288,545,319,(EIN),OTHER
693,698,1448,290,1531,323,"Wages,",OTHER
700,704,1537,293,1583,323,"tips,",OTHER
706,710,1589,293,1644,323,other,OTHER
712,723,1649,288,1796,322,compensation,OTHER
743,743,1944,284,1971,321,2,OTHER
745,751,2003,289,2085,322,Federal,OTHER
753,758,2090,290,2170,322,income,OTHER
760,762,2175,290,2208,321,tax,OTHER
764,771,2213,287,2299,320,withheld,OTHER
783,792,217,330,472,368,94-3031191,einEmployerIdentificationNumber
895,901,1477,329,1655,368,116288.,box1WagesTipsAndOtherCompensations
903,904,1661,329,1710,368,14,box1WagesTipsAndOtherCompensations
943,947,1975,327,2103,366,13729,box2FederalIncomeTaxWithheld
949,949,2110,328,2128,366,.,box2FederalIncomeTaxWithheld
951,951,2135,328,2147,366,7,box2FederalIncomeTaxWithheld
954,954,119,380,142,415,c,OTHER
956,965,148,380,265,414,Employer's,OTHER
967,971,271,381,341,414,"name,",OTHER
973,980,347,381,440,414,"address,",OTHER
982,984,445,380,487,414,and,OTHER
986,988,492,380,530,414,ZIP,OTHER
990,993,534,379,595,414,code,OTHER
1073,1078,1450,383,1516,412,Social,OTHER
1080,1087,1522,381,1602,412,security,OTHER
1089,1093,1607,381,1684,413,wages,OTHER
1126,1131,2006,384,2070,412,Social,OTHER
1133,1140,2075,383,2157,412,security,OTHER
1142,1144,2162,382,2196,411,tax,OTHER
1146,1153,2202,379,2287,410,withheld,OTHER
1165,1171,221,427,408,468,"Warren,",employerName
1173,1180,428,428,634,466,Thompson,employerName
1182,1184,659,427,744,466,and,employerName
1186,1190,769,425,897,466,Jones,employerName
1192,1194,920,423,1002,466,Ltd,employerName
1277,1282,1475,426,1630,463,104864,box3SocialSecurityWages
1284,1284,1637,426,1654,464,.,box3SocialSecurityWages
1286,1287,1660,426,1707,466,42,box3SocialSecurityWages
1327,1330,1980,426,2077,462,8022,box4SocialSecurityTaxWithheld
1332,1332,2084,427,2102,464,.,box4SocialSecurityTaxWithheld
1334,1335,2108,429,2142,467,13,box4SocialSecurityTaxWithheld
1347,1350,220,485,324,523,1151,employerAddressStreet_name
1352,1356,345,485,480,524,Kelli,employerAddressStreet_name
1358,1361,504,485,610,525,Loaf,employerAddressStreet_name
1363,1367,634,484,761,525,Suite,employerAddressStreet_name
1369,1371,790,484,859,525,568,employerAddressStreet_name
1458,1465,1451,470,1547,503,Medicare,OTHER
1467,1471,1552,473,1625,503,wages,OTHER
1473,1475,1630,473,1671,503,and,OTHER
1477,1480,1675,472,1716,502,tips,OTHER
1507,1507,1944,473,1968,506,6,OTHER
1509,1516,2002,473,2104,501,Medicare,OTHER
1518,1520,2109,473,2142,502,tax,OTHER
1522,1529,2147,473,2227,504,withheld,OTHER
1653,1657,1476,513,1603,548,90803,OTHER
1659,1659,1610,513,1630,548,.,OTHER
1661,1662,1637,513,1678,549,78,OTHER
1713,1717,2097,514,2223,550,2633.,OTHER
1719,1720,2229,514,2271,550,31,OTHER
1731,1733,212,544,294,582,New,employerAddressCity
1735,1740,319,546,467,585,Dennis,employerAddressCity
1769,1770,605,541,662,581,HI,employerAddressState
1772,1781,688,543,938,589,31351-1959,employerAddressZip
1904,1909,1451,558,1513,596,Social,OTHER
1911,1918,1520,558,1600,594,security,OTHER
1920,1923,1606,559,1652,594,tips,OTHER
1953,1953,1944,556,1964,585,8,OTHER
1954,1962,2004,557,2103,591,Allocated,OTHER
1964,1967,2109,558,2147,591,tips,OTHER
2091,2096,1475,606,1630,641,104864,OTHER
2098,2098,1635,606,1655,642,.,OTHER
2100,2101,1660,607,1705,643,42,OTHER
