36,36,503,198,524,228,a,OTHER
38,47,537,196,672,231,Employee's,OTHER
49,54,676,196,746,231,social,OTHER
56,63,750,196,844,231,security,OTHER
65,70,849,196,935,230,number,OTHER
134,138,1586,193,1653,228,"Safe,",OTHER
140,148,1659,196,1796,233,Accurate.,OTHER
184,188,2091,194,2147,228,Visit,OTHER
190,192,2153,195,2197,229,the,OTHER
194,196,2203,195,2254,230,IRS,OTHER
198,204,2259,193,2367,232,Website,OTHER
367,369,1833,218,1947,263,Rev,OTHER
371,374,1954,220,2045,263,file,OTHER
428,438,696,235,973,275,035-36-3992,ssnOfEmployee
482,484,1273,241,1325,272,OMB,OTHER
486,488,1330,242,1371,273,No.,OTHER
490,498,1376,241,1491,274,1545-0008,OTHER
509,513,1581,241,1677,275,FAST!,OTHER
515,516,1683,242,1722,278,Us,OTHER
559,560,2094,239,2115,275,at,OTHER
562,578,2122,240,2340,279,www.irs.gov/efile,OTHER
581,581,114,288,140,322,b,OTHER
583,590,148,288,249,322,Employer,OTHER
592,605,253,289,389,322,identification,OTHER
607,612,394,289,475,320,number,OTHER
614,618,482,289,536,317,(EIN),OTHER
700,705,1446,292,1531,322,"Wages,",OTHER
707,711,1536,294,1583,322,"tips,",OTHER
713,717,1588,293,1645,322,other,OTHER
719,730,1650,286,1807,322,compensation,OTHER
751,751,1944,284,1971,321,2,OTHER
753,759,2002,291,2084,322,Federal,OTHER
761,766,2089,291,2170,322,income,OTHER
768,770,2175,290,2210,321,tax,OTHER
772,779,2215,288,2302,320,withheld,OTHER
791,800,220,330,469,367,63-3480270,einEmployerIdentificationNumber
905,909,1478,328,1601,364,62239,box1WagesTipsAndOtherCompensations
911,911,1610,328,1627,364,.,box1WagesTipsAndOtherCompensations
913,914,1633,327,1674,364,89,box1WagesTipsAndOtherCompensations
953,957,1976,329,2102,367,10671,box2FederalIncomeTaxWithheld
959,959,2108,329,2130,368,.,box2FederalIncomeTaxWithheld
961,962,2136,329,2184,369,76,box2FederalIncomeTaxWithheld
966,966,119,378,142,413,c,OTHER
968,977,149,379,263,414,Employer's,OTHER
979,983,270,381,339,414,"name,",OTHER
985,992,345,381,440,414,"address,",OTHER
994,996,446,381,486,414,and,OTHER
998,1000,492,381,530,414,ZIP,OTHER
1002,1005,535,380,596,413,code,OTHER
1085,1090,1450,382,1516,412,Social,OTHER
1092,1099,1521,382,1602,413,security,OTHER
1101,1105,1607,381,1677,413,wages,OTHER
