84,84,916,75,936,104,e,OTHER
86,90,945,63,1016,99,.file,OTHER
165,168,773,107,823,132,FAST,OTHER
170,172,827,100,861,124,Use,OTHER
180,187,985,109,1097,151,64741.62,box2FederalIncomeTaxWithheld
256,264,727,153,853,197,245379-13,box1WagesTipsAndOtherCompensations
280,287,995,162,1109,204,13757.36,box4SocialSecurityTaxWithheld
313,323,313,168,467,217,427-33-4506,ssnOfEmployee
393,401,736,206,864,249,179834.82,box3SocialSecurityWages
421,426,1066,206,1152,243,8189.9,OTHER
496,504,746,256,875,299,282410.46,OTHER
525,533,1075,250,1202,293,282410.46,OTHER
535,544,80,267,217,310,43-6315844,einEmployerIdentificationNumber
618,626,756,307,881,350,179834.82,OTHER
645,647,1084,315,1125,341,247,OTHER
649,655,88,327,189,364,Edwards,employerName
657,659,198,317,243,345,LLC,employerName
661,663,256,307,298,336,Inc,employerName
682,691,389,334,531,380,95937-7595,employerAddressZip
693,697,96,363,168,397,49043,employerAddressStreet_name
699,704,175,348,265,384,Robert,employerAddressStreet_name
706,709,274,337,331,368,Spur,employerAddressStreet_name
725,726,291,369,318,395,UT,employerAddressState
811,814,1095,371,1150,399,8186,OTHER
817,825,98,389,227,431,Webbmouth,employerAddressCity
900,902,774,429,816,456,201,OTHER
927,929,1104,435,1148,462,836,OTHER
933,939,114,476,214,514,9943397,OTHER
1040,1040,1075,513,1087,528,A,OTHER
1042,1044,1116,495,1158,522,600,OTHER
1066,1072,283,521,400,564,Kennedy,employeeName
1140,1141,1042,539,1058,556,TT,OTHER
1146,1150,128,557,210,591,Terry,employeeName
1245,1247,1125,550,1169,585,794,OTHER
1271,1272,439,590,480,623,WY,OTHER
1274,1283,503,558,666,612,08716-7896,OTHER
1288,1291,135,600,204,637,2505,OTHER
1293,1298,212,581,314,624,Wilson,OTHER
1300,1304,321,564,411,605,Mount,OTHER
1306,1310,420,547,504,587,Suite,OTHER
1312,1314,514,536,565,570,108,OTHER
1320,1323,140,639,211,676,Lake,OTHER
1325,1333,221,609,367,661,Joelmouth,OTHER
1408,1412,1021,643,1090,676,40984,OTHER
1414,1415,1090,639,1117,662,.8,OTHER
1496,1504,819,669,943,712,306633.41,OTHER
1509,1516,1027,685,1140,728,32468.94,OTHER
1579,1586,635,702,748,746,15089.32,box17StateIncomeTax
1628,1636,447,733,576,778,127683.58,box16StateWagesTips
1667,1675,827,716,953,764,226033.93,OTHER
1738,1744,644,754,746,797,13582.5,OTHER
1760,1769,235,769,374,815,103-25-758,OTHER
1775,1782,455,785,568,829,119331.4,OTHER
1808,1811,662,783,809,857,2018,taxYear
1816,1817,123,809,150,831,ID,OTHER
1834,1843,243,818,384,866,899-50-344,OTHER
1861,1864,255,862,326,898,Wage,OTHER
1866,1868,327,854,376,886,and,OTHER
1870,1872,380,846,422,877,Tax,OTHER
1890,1898,263,886,381,927,Statement,OTHER
1903,1905,130,932,159,954,for,OTHER
1907,1908,173,923,204,946,wa,OTHER
1913,1916,135,950,178,978,Copy,OTHER
1918,1921,179,942,227,970,B-To,OTHER
1923,1924,228,938,253,962,Be,OTHER
1926,1931,253,931,292,957,Filled,OTHER
1933,1936,293,924,331,950,with,OTHER
1938,1947,332,908,424,944,Empingor's,OTHER
1949,1955,424,893,506,927,FEDERAL,OTHER
1957,1959,507,887,538,912,Tax,OTHER
1961,1967,538,877,598,907,Returns,OTHER
