39,39,505,198,525,227,a,OTHER
41,50,536,196,672,231,Employee's,OTHER
52,57,676,196,746,231,social,OTHER
59,66,751,196,845,231,security,OTHER
68,73,850,197,936,231,number,OTHER
130,134,1586,193,1653,228,"Safe,",OTHER
136,144,1659,196,1796,232,Accurate.,OTHER
181,185,2092,196,2147,229,Visit,OTHER
187,189,2153,196,2197,230,the,OTHER
191,193,2203,195,2253,230,IRS,OTHER
195,201,2259,193,2366,231,Website,OTHER
361,363,1832,219,1946,263,Rev,OTHER
365,368,1956,220,2047,263,file,OTHER
425,435,696,236,981,277,591-29-4776,ssnOfEmployee
475,477,1273,241,1325,272,OMB,OTHER
479,481,1331,242,1371,273,No.,OTHER
483,491,1377,241,1490,274,1545-0008,OTHER
499,503,1581,241,1675,275,FAST!,OTHER
505,506,1681,242,1721,278,Us,OTHER
552,553,2093,241,2116,275,at,OTHER
555,571,2122,242,2340,279,www.irs.gov/efile,OTHER
574,574,114,288,140,322,b,OTHER
576,583,145,288,249,322,Employer,OTHER
585,598,253,289,387,322,identification,OTHER
600,605,393,289,474,320,number,OTHER
607,611,480,289,535,318,(EIN),OTHER
690,695,1447,291,1532,322,"Wages,",OTHER
697,701,1537,294,1582,322,"tips,",OTHER
703,707,1587,294,1643,322,other,OTHER
709,720,1648,288,1796,322,compensation,OTHER
747,753,2002,290,2086,322,Federal,OTHER
755,760,2090,290,2170,322,income,OTHER
762,764,2175,289,2209,321,tax,OTHER
766,773,2213,287,2301,319,withheld,OTHER
785,794,218,332,476,367,15-4530578,einEmployerIdentificationNumber
896,901,1478,329,1629,368,118491,box1WagesTipsAndOtherCompensations
903,903,1635,329,1653,368,.,box1WagesTipsAndOtherCompensations
905,906,1659,329,1710,368,14,box1WagesTipsAndOtherCompensations
948,953,1976,328,2130,368,15176.,box2FederalIncomeTaxWithheld
955,956,2136,329,2183,369,73,box2FederalIncomeTaxWithheld
960,960,119,379,141,412,c,OTHER
962,971,147,379,264,413,Employer's,OTHER
973,977,269,380,340,413,"name,",OTHER
979,986,346,381,438,414,"address,",OTHER
988,990,444,381,486,414,and,OTHER
992,994,492,381,528,414,ZIP,OTHER
996,999,534,381,595,414,code,OTHER
1078,1083,1449,382,1516,412,Social,OTHER
1085,1092,1520,382,1602,413,security,OTHER
