39,39,504,937,527,970,a,OTHER
41,50,538,938,671,973,Employee's,OTHER
52,57,676,940,746,974,social,OTHER
59,66,752,940,842,974,security,OTHER
68,73,848,941,935,973,number,OTHER
127,131,1582,938,1653,972,"Safe,",OTHER
133,141,1659,939,1805,976,Accurate.,OTHER
156,160,2092,934,2147,972,Visit,OTHER
162,164,2153,937,2197,973,the,OTHER
166,168,2203,938,2254,974,IRS,OTHER
170,176,2259,937,2372,974,Website,OTHER
321,323,1833,961,1895,1006,RSe,OTHER
325,325,1909,961,1938,1006,~,OTHER
327,330,1955,959,2045,1006,file,OTHER
387,397,699,978,978,1017,066-30-9199,ssnOfEmployee
433,435,1272,981,1324,1015,OMB,OTHER
437,439,1330,980,1371,1015,No.,OTHER
441,449,1377,979,1491,1015,1545-0008,OTHER
460,464,1587,983,1678,1019,FAST!,OTHER
466,467,1683,983,1725,1023,US,OTHER
486,487,2092,984,2116,1019,at,OTHER
489,506,2121,984,2351,1022,www.irs.gov/efile.,OTHER
508,508,115,1032,137,1064,b,OTHER
510,517,149,1033,249,1064,Employer,OTHER
519,532,255,1034,389,1064,identification,OTHER
534,539,395,1033,476,1063,number,OTHER
541,545,482,1031,553,1063,(EIN),OTHER
624,629,1447,1036,1532,1065,"Wages,",OTHER
631,635,1536,1036,1582,1065,"tips,",OTHER
637,641,1587,1036,1645,1064,other,OTHER
643,654,1649,1035,1805,1064,compensation,OTHER
676,682,2002,1037,2086,1064,Federal,OTHER
684,689,2090,1036,2170,1064,income,OTHER
691,693,2175,1035,2209,1063,tax,OTHER
695,702,2213,1031,2302,1062,withheld,OTHER
713,722,219,1070,475,1105,99-2878933,einEmployerIdentificationNumber
822,827,1477,1070,1628,1106,179678,box1WagesTipsAndOtherCompensations
829,829,1636,1070,1653,1106,.,OTHER
831,832,1659,1071,1701,1106,68,box1WagesTipsAndOtherCompensations
871,878,1977,1071,2186,1107,44616.57,box2FederalIncomeTaxWithheld
881,881,117,1123,140,1155,c,OTHER
883,892,147,1123,265,1157,Employer's,OTHER
894,898,270,1125,341,1157,"name,",OTHER
900,907,346,1125,440,1157,"address,",OTHER
909,911,446,1124,487,1157,and,OTHER
913,915,493,1123,529,1156,ZIP,OTHER
917,920,535,1121,591,1156,code,OTHER
996,1001,1452,1127,1516,1159,Social,OTHER
1003,1010,1522,1127,1603,1159,security,OTHER
1012,1016,1609,1127,1687,1160,wages,OTHER
1048,1053,2005,1127,2071,1158,Social,OTHER
1055,1062,2076,1125,2158,1157,security,OTHER
1064,1066,2162,1124,2197,1156,tax,OTHER
1068,1075,2202,1122,2298,1155,withheld,OTHER
1087,1093,219,1166,405,1207,"Wright,",employerName
1095,1101,429,1165,608,1207,Johnson,employerName
1103,1105,634,1165,716,1208,and,employerName
1107,1111,739,1165,867,1209,Smith,employerName
1113,1117,893,1165,1023,1212,Group,employerName
1196,1201,1476,1164,1630,1203,222566,box3SocialSecurityWages
1203,1203,1635,1164,1652,1200,.,OTHER
1205,1206,1657,1165,1706,1204,66,box3SocialSecurityWages
1243,1247,1978,1165,2101,1201,17026,box4SocialSecurityTaxWithheld
1249,1249,2108,1165,2128,1202,.,box4SocialSecurityTaxWithheld
1251,1252,2134,1166,2180,1204,35,box4SocialSecurityTaxWithheld
1371,1378,1461,1210,1548,1248,ledicare,OTHER
1380,1384,1554,1213,1625,1249,wages,OTHER
1386,1388,1631,1213,1669,1249,and,OTHER
1390,1393,1675,1212,1717,1248,tips,OTHER
1421,1428,2002,1211,2101,1246,Medicare,OTHER
1430,1432,2107,1211,2141,1247,tax,OTHER
1434,1441,2147,1212,2242,1250,withheld,OTHER
1453,1455,220,1227,296,1265,182,employerAddressStreet_name
1457,1461,323,1227,451,1265,Tommy,employerAddressStreet_name
1463,1467,478,1228,601,1265,Grove,employerAddressStreet_name
1587,1593,1477,1252,1653,1295,208204.,OTHER
1595,1595,1660,1256,1674,1295,1,OTHER
1647,1650,2104,1255,2199,1293,6037,OTHER
1652,1652,2205,1256,2222,1292,.,OTHER
1654,1655,2227,1253,2278,1292,92,OTHER
1667,1670,215,1284,323,1323,West,employerAddressCity
1672,1676,346,1284,471,1329,Cindy,employerAddressCity
1681,1682,584,1282,629,1319,TN,employerAddressState
1684,1693,660,1279,920,1325,87273-7106,employerAddressZip
1811,1816,1450,1300,1515,1334,Social,OTHER
1818,1825,1521,1298,1602,1334,security,OTHER
1827,1830,1607,1298,1657,1334,tips,OTHER
1863,1871,2004,1298,2102,1330,Allocated,OTHER
1873,1876,2107,1298,2144,1333,tips,OTHER
1996,2002,1477,1343,1651,1383,222566.,OTHER
2004,2005,1658,1346,1711,1383,66,OTHER
2055,2062,2097,1347,2307,1388,208204.1,OTHER
2065,2065,121,1392,141,1422,d,OTHER
2067,2073,148,1393,225,1423,Control,OTHER
2075,2080,230,1395,320,1423,number,OTHER
2180,2191,1450,1394,1570,1425,Verification,OTHER
2193,2196,1574,1390,1630,1421,Code,OTHER
2226,2227,1934,1394,1958,1417,10,OTHER
2229,2237,2004,1393,2125,1422,Dependent,OTHER
2239,2242,2129,1393,2177,1422,care,OTHER
2244,2251,2182,1390,2270,1421,benefits,OTHER
