6,8,361,138,423,175,W-2,OTHER
42,45,1131,147,1245,213,2018,OTHER
47,49,1247,165,1345,228,W-2,OTHER
51,53,1347,181,1442,244,and,OTHER
55,62,1445,196,1703,284,EARNINGS,OTHER
64,70,1710,238,1965,324,SUMMARY,OTHER
100,103,747,196,826,239,2018,taxYear
113,115,463,321,523,365,lis,employerAddressStreet_name
117,122,527,326,601,373,Willey,employerAddressStreet_name
124,127,604,334,656,382,age.,employerAddressStreet_name
129,131,658,343,710,393,819,employerAddressStreet_name
190,191,1469,800,1637,921,EE,OTHER
253,253,1683,839,1756,935,E,OTHER
259,261,30,2225,98,2264,W-2,OTHER
271,274,416,2285,497,2330,2018,OTHER
313,316,1045,2383,1128,2430,2018,OTHER
381,384,1702,2489,1782,2534,2018,OTHER
