44,54,397,40,550,71,532-46-5259,ssnOfEmployee
70,79,148,79,289,109,68-3376487,einEmployerIdentificationNumber
140,143,864,64,914,87,FAST,OTHER
145,147,918,68,955,90,Use,OTHER
149,149,1012,61,1029,89,e,OTHER
151,155,1042,62,1110,93,.file,OTHER
237,244,808,111,916,142,57569-68,box1WagesTipsAndOtherCompensations
254,260,1067,126,1163,156,18118.1,box2FederalIncomeTaxWithheld
276,284,144,133,274,163,Gay-Potts,employerName
286,288,285,140,329,165,LLC,employerName
304,308,145,165,217,195,48464,employerAddressStreet_name
310,316,224,170,328,203,Bentley,employerAddressStreet_name
318,321,337,176,397,206,Path,employerAddressStreet_name
323,326,407,179,470,209,Apt.,employerAddressStreet_name
328,330,480,182,521,210,216,employerAddressStreet_name
370,377,805,165,916,196,74656.48,box3SocialSecurityWages
387,393,1063,174,1159,209,5711.22,box4SocialSecurityTaxWithheld
409,412,140,199,201,227,Lake,employerAddressCity
414,417,210,204,270,232,Carl,employerAddressCity
423,424,336,209,369,235,VT,employerAddressState
426,435,435,214,575,248,89867-9769,employerAddressZip
474,481,801,217,915,247,52617.88,OTHER
584,590,1125,234,1221,262,1525.92,OTHER
671,678,799,267,910,298,74656.48,OTHER
693,699,138,284,235,313,6232200,OTHER
781,788,1123,282,1237,314,52617.88,OTHER
898,900,1120,336,1160,360,228,OTHER
914,917,130,362,198,392,Mary,employeeName
923,930,278,368,404,400,Sandoval,employeeName
976,978,793,379,835,404,276,OTHER
1009,1012,1119,394,1170,420,4585,OTHER
1026,1028,132,405,181,435,798,OTHER
1030,1033,194,408,261,441,Gary,OTHER
1035,1044,275,413,436,452,Throughway,OTHER
1058,1061,128,445,195,475,Lake,OTHER
1063,1067,210,450,291,481,Shawn,OTHER
1119,1119,761,429,788,467,X,OTHER
1147,1148,368,456,402,485,GA,OTHER
1150,1159,416,459,576,494,15258-6177,OTHER
1225,1227,1114,453,1153,485,234,OTHER
1336,1338,1111,518,1150,544,242,OTHER
