0,0,828,170,931,208,Earnings,OTHER
0,0,723,184,768,218,This,OTHER
0,0,1001,556,1044,586,was,OTHER
0,0,1680,613,1697,639,W2,OTHER
0,0,1015,851,1090,883,Profile.,OTHER
0,0,465,922,516,948,2252.8,OTHER
0,0,502,1511,568,1538,withheld,OTHER
0,0,192,1804,233,1826,Social,OTHER
0,0,423,1887,448,1916,12a,OTHER
0,0,1902,2110,1943,2137,etc.4,OTHER
0,0,390,2382,482,2416,Statement,OTHER
245,247,1767,39,1825,79,ADP,OTHER
358,361,787,123,896,177,2018,OTHER
363,365,903,114,997,169,W-2,OTHER
367,369,1006,106,1095,161,and,OTHER
371,378,1104,84,1357,153,EARNINGS,OTHER
380,386,1367,60,1621,130,SUMMARY,OTHER
490,490,871,729,886,754,T,OTHER
492,493,1136,150,1157,180,is,OTHER
495,498,771,179,824,213,blue,OTHER
501,501,322,753,339,779,a,OTHER
504,505,1708,102,1731,130,in,OTHER
509,515,934,160,1047,198,Summary,OTHER
517,523,1051,153,1132,188,section,OTHER
528,535,1161,142,1260,178,included,OTHER
537,540,1264,137,1312,169,with,OTHER
542,545,1316,132,1368,165,your,OTHER
547,549,1373,128,1423,160,W-2,OTHER
551,552,1427,125,1450,155,to,OTHER
554,557,1454,120,1510,152,help,OTHER
559,566,1514,112,1607,147,describe,OTHER
568,575,1611,104,1703,139,portions,OTHER
580,583,1735,96,1800,128,more,OTHER
585,591,1805,90,1866,122,detail.,OTHER
624,632,260,227,357,254,Reference,OTHER
638,641,427,215,472,238,Copy,OTHER
695,697,721,212,765,242,The,OTHER
699,705,768,205,857,238,reverse,OTHER
707,710,860,201,909,231,side,OTHER
712,719,912,193,1010,226,includes,OTHER
721,727,1013,186,1101,217,general,OTHER
729,739,1104,174,1232,210,information,OTHER
741,744,1236,169,1282,198,that,OTHER
746,748,1285,165,1328,194,you,OTHER
750,752,1332,160,1385,190,may,OTHER
754,757,1389,155,1438,185,also,OTHER
759,762,1442,150,1484,180,find,OTHER
764,770,1488,143,1560,176,helpful,OTHER
783,790,119,236,212,266,Employee,OTHER
826,828,296,256,328,276,and,OTHER
830,832,360,249,384,270,Tax,OTHER
993,999,1649,246,1694,267,2832.39,OTHER
1027,1035,212,280,284,310,Statement,OTHER
1045,1048,1253,241,1303,272,2018,OTHER
1109,1110,792,284,812,311,1.,OTHER
1112,1114,816,280,855,309,The,OTHER
1116,1124,858,272,948,305,following,OTHER
1126,1136,951,261,1070,297,information,OTHER
1138,1145,1074,254,1150,287,reflects,OTHER
1148,1151,1758,198,1805,228,your,OTHER
