0,0,717,98,763,128,This,OTHER
0,0,145,1120,233,1146,630-45-918,OTHER
0,0,1042,1397,1109,1422,withheld,OTHER
0,0,191,1484,245,1509,"address,",OTHER
0,0,121,1678,170,1700,security,OTHER
0,0,937,1767,962,1787,12a,OTHER
0,0,132,2174,179,2199,income,OTHER
0,0,183,2173,204,2197,tax,OTHER
0,0,99,2191,170,2220,17160.63,OTHER
226,228,1767,20,1838,61,FDP,OTHER
328,331,786,47,894,92,2018,OTHER
333,335,905,46,996,92,W-2,OTHER
337,339,1007,45,1093,91,and,OTHER
341,348,1106,40,1356,90,EARNINGS,OTHER
350,356,1373,33,1620,86,SUMMARY,OTHER
371,378,118,109,207,137,Employee,OTHER
380,388,256,107,350,134,Reference,OTHER
417,420,423,107,471,129,Copy,OTHER
448,449,1135,92,1155,120,is,OTHER
451,454,767,97,821,127,blue,OTHER
456,463,825,95,928,125,Earnings,OTHER
465,471,933,93,1044,123,Summary,OTHER
473,479,1049,92,1130,121,section,OTHER
484,491,1160,90,1259,119,included,OTHER
493,496,1264,89,1311,117,with,OTHER
498,501,1316,88,1367,116,your,OTHER
503,505,1372,87,1420,115,W-2,OTHER
507,508,1426,87,1449,114,to,OTHER
510,513,1455,86,1509,114,help,OTHER
515,522,1514,84,1607,113,describe,OTHER
524,531,1613,82,1703,111,portions,OTHER
533,534,1709,82,1732,109,in,OTHER
536,539,1738,81,1801,109,more,OTHER
541,547,1807,79,1869,107,detail.,OTHER
569,572,207,139,257,162,Wage,OTHER
574,576,288,138,320,158,and,OTHER
578,580,353,136,379,156,Tax,OTHER
637,639,719,126,760,151,The,OTHER
641,647,765,125,851,151,reverse,OTHER
649,652,856,125,902,150,side,OTHER
654,661,907,123,1005,150,includes,OTHER
663,669,1010,122,1096,148,general,OTHER
671,681,1100,120,1229,147,information,OTHER
683,686,1234,119,1277,145,that,OTHER
688,690,1282,118,1325,144,you,OTHER
692,694,1330,117,1381,143,may,OTHER
696,699,1386,116,1434,142,also,OTHER
701,704,1439,115,1482,140,find,OTHER
706,713,1487,113,1571,139,helpful.,OTHER
715,717,24,172,84,200,W-2,OTHER
771,774,416,165,489,194,2018,taxYear
787,794,105,216,149,240,pleyee's,OTHER
796,802,153,216,197,239,records,OTHER
832,835,402,200,429,222,OnNB,OTHER
837,840,432,199,456,221,Too.,OTHER
842,850,459,198,521,221,1565-6098,OTHER
872,873,781,200,802,225,1.,OTHER
875,877,806,199,843,225,The,OTHER
879,887,848,198,938,225,following,OTHER
889,899,943,196,1060,224,information,OTHER
901,908,1064,195,1139,222,reflects,OTHER
910,913,1144,194,1191,221,your,OTHER
915,919,1196,193,1241,220,final,OTHER
921,924,1246,192,1294,219,2018,OTHER
926,928,1299,191,1337,219,pay,OTHER
930,933,1342,191,1387,218,stub,OTHER
935,938,1392,190,1436,217,plus,OTHER
940,942,1440,189,1479,216,any,OTHER
944,954,1484,187,1611,215,adjustments,OTHER
956,964,1615,185,1715,213,submitted,OTHER
966,967,1720,185,1745,211,by,OTHER
969,972,1750,184,1797,210,your,OTHER
974,982,1801,182,1912,209,employer.,OTHER
1045,1052,448,228,504,248,Emginger,OTHER
1054,1056,507,229,529,249,use,OTHER
1058,1061,532,231,563,253,only,OTHER
1086,1090,844,236,879,260,Gross,OTHER
1092,1094,883,236,912,260,Pay,OTHER
1102,1107,990,234,1035,258,175384,OTHER
1115,1120,1136,237,1176,259,Social,OTHER
1122,1124,1180,237,1205,259,Sec,OTHER
1130,1134,1286,228,1321,250,15424,OTHER
1136,1137,1324,227,1339,249,86,OTHER
1146,1148,1447,225,1467,249,ND.,OTHER
1150,1154,1471,225,1502,248,State,OTHER
1156,1161,1506,225,1554,249,Income,OTHER
1163,1169,21,250,84,275,3075347,OTHER
1188,1190,221,242,254,272,150,OTHER
1325,1329,1449,256,1483,279,Local,OTHER
1331,1336,1487,256,1536,280,Income,OTHER
1338,1339,1540,257,1555,281,To,OTHER
1472,1474,1134,269,1160,291,Box,OTHER
1476,1476,1164,268,1171,290,4,OTHER
1478,1479,1175,267,1186,290,of,OTHER
1481,1483,1190,265,1219,290,W.2,OTHER
1522,1526,1641,258,1677,281,17100,OTHER
1528,1529,1681,259,1696,281,63,OTHER
1534,1543,52,288,121,313,Employer's,OTHER
1545,1549,127,280,165,306,"name,",OTHER
1566,1570,126,288,167,313,name.,OTHER
1571,1573,171,288,195,313,add,OTHER
1601,1601,1589,775,1602,802,a,OTHER
1605,1607,227,281,252,306,and,OTHER
1609,1611,255,281,275,306,Zip,OTHER
1613,1616,279,281,309,305,code,OTHER
1741,1743,1448,280,1473,304,Box,OTHER
1745,1746,1478,281,1491,305,19,OTHER
1748,1749,1495,280,1508,304,of,OTHER
1751,1753,1512,277,1542,304,W.2,OTHER
1760,1769,66,307,182,334,Richardson,employerName
