0,0,861,980,950,1002,compensation,OTHER
0,0,99,1157,195,1183,2719368,OTHER
0,0,736,1506,859,1535,155259.21,OTHER
49,49,329,17,341,36,a,OTHER
51,60,348,19,422,42,Employee's,OTHER
62,67,425,24,463,45,social,OTHER
69,76,466,27,515,49,security,OTHER
78,83,518,30,572,52,number,OTHER
100,100,121,54,132,71,b,OTHER
102,109,139,55,194,76,Employer,OTHER
111,124,197,59,271,82,identification,OTHER
126,131,273,65,317,85,number,OTHER
133,137,319,69,351,87,(EIN),OTHER
148,158,423,47,578,77,050-77-5869,ssnOfEmployee
221,225,895,56,932,77,"Safe,",OTHER
227,235,934,59,1014,85,"Accurate,",OTHER
262,271,175,81,315,112,41-7771215,einEmployerIdentificationNumber
346,348,723,68,752,88,OMB,OTHER
350,352,755,70,778,90,No.,OTHER
354,362,781,72,843,94,1545-0008,OTHER
373,377,892,80,943,101,FAST!,OTHER
379,381,945,83,979,106,Use,OTHER
383,385,1016,76,1056,105,the,OTHER
412,412,1066,80,1083,108,+,OTHER
414,417,1085,82,1136,112,file,OTHER
419,423,1162,75,1190,95,Visit,OTHER
425,427,1192,77,1215,97,the,OTHER
429,431,1217,79,1246,100,IRS,OTHER
433,439,1247,81,1308,105,Website,OTHER
456,456,118,105,132,125,c,OTHER
458,467,133,106,199,130,Employer's,OTHER
469,473,201,113,241,133,"name,",OTHER
475,482,243,116,295,137,"address,",OTHER
484,486,297,119,319,138,and,OTHER
488,490,321,119,342,139,ZIP,OTHER
492,495,345,120,374,141,code,OTHER
561,566,811,103,859,125,"Wages,",OTHER
568,572,861,107,889,128,"tips,",OTHER
574,578,891,109,921,129,other,OTHER
580,580,58,972,71,993,c,OTHER
584,584,105,308,117,327,e,OTHER
587,588,1156,101,1172,119,at,OTHER
590,591,799,959,814,978,on,OTHER
630,630,886,949,892,968,a,OTHER
633,639,1173,102,1230,124,www.irs,OTHER
641,649,1232,105,1292,128,gov.efile,OTHER
675,682,171,135,282,165,Griffith,employerName
684,686,296,143,338,169,PLC,employerName
688,690,352,146,396,171,Ltd,employerName
777,782,832,128,915,154,145584,box1WagesTipsAndOtherCompensations
784,784,918,134,929,155,.,box1WagesTipsAndOtherCompensations
786,787,932,135,957,156,79,box1WagesTipsAndOtherCompensations
829,835,1101,123,1145,144,Federal,OTHER
837,842,1148,127,1192,147,income,OTHER
844,846,1194,130,1215,148,tax,OTHER
848,855,1217,132,1266,151,withheld,OTHER
978,983,810,156,847,176,Social,OTHER
985,992,849,159,896,180,security,OTHER
994,998,898,163,942,183,wages,OTHER
1036,1040,1092,146,1162,172,33307,box2FederalIncomeTaxWithheld
1042,1042,1165,151,1174,173,.,box2FederalIncomeTaxWithheld
1044,1045,1177,152,1200,175,15,box2FederalIncomeTaxWithheld
1070,1073,170,167,227,195,7523,employerAddressStreet_name
1075,1079,236,173,310,201,Kiara,employerAddressStreet_name
1081,1084,321,179,378,205,Cape,employerAddressStreet_name
1172,1177,829,182,912,207,124704,box3SocialSecurityWages
1179,1179,915,187,926,208,.,box3SocialSecurityWages
1181,1182,930,188,952,210,78,box3SocialSecurityWages
1227,1232,1099,176,1137,195,Social,OTHER
1234,1241,1139,178,1186,199,security,OTHER
1243,1245,1187,182,1208,200,tax,OTHER
1247,1254,1210,183,1262,202,withheld,OTHER
1278,1287,164,202,307,234,Austinstad,employerAddressCity
1289,1289,333,213,346,237,O,employerAddressState
1373,1373,782,204,794,222,5,OTHER
1375,1382,805,205,860,227,Medicare,OTHER
1384,1388,863,209,903,230,wages,OTHER
1390,1392,905,212,927,232,and,OTHER
1394,1397,929,215,951,233,tips,OTHER
1435,1438,1091,200,1143,222,9539,box4SocialSecurityTaxWithheld
1440,1442,1147,204,1185,227,.92,box4SocialSecurityTaxWithheld
1503,1512,403,217,543,250,48757-9505,employerAddressZip
1568,1573,824,233,908,257,158680,OTHER
1575,1576,911,237,936,258,.2,OTHER
1621,1628,1095,227,1148,245,Medicare,OTHER
1630,1632,1151,230,1171,247,tax,OTHER
1634,1641,1173,231,1222,253,withheld,OTHER
1656,1656,109,257,122,275,d,OTHER
1658,1664,124,259,167,280,Control,OTHER
1666,1671,169,263,206,284,number,OTHER
1764,1769,803,257,840,277,Social,OTHER
1771,1778,843,259,889,281,security,OTHER
1780,1783,891,262,918,283,tips,OTHER
1831,1834,1149,256,1204,277,4601,OTHER
1836,1836,1208,259,1218,279,.,OTHER
1838,1839,1220,260,1243,281,73,OTHER
1862,1868,160,288,259,315,2719368,OTHER
1965,1970,822,283,905,308,124704,OTHER
1972,1972,907,288,918,309,.,OTHER
1974,1975,921,289,947,311,78,OTHER
2019,2027,1092,278,1147,295,Allocated,OTHER
2029,2032,1149,280,1174,298,tips,OTHER
2046,2046,43,1178,55,1196,e,OTHER
2048,2057,120,310,188,332,Employee's,OTHER
2059,2063,191,317,213,334,first,OTHER
2065,2068,216,319,250,336,name,OTHER
2070,2072,253,321,274,338,and,OTHER
2074,2079,277,322,304,340,initia,OTHER
2222,2229,1145,305,1257,332,158680.2,OTHER
2285,2288,371,328,397,346,Last,OTHER
2290,2293,399,329,435,349,name,OTHER
2404,2405,1059,327,1072,341,10,OTHER
2407,2415,1089,329,1152,348,Dependent,OTHER
2417,2420,1154,333,1181,350,care,OTHER
2422,2429,1183,335,1229,354,benefits,OTHER
2452,2458,152,363,264,392,Madison,employeeName
2460,2464,313,374,394,404,Chang,employeeName
2540,2544,724,349,758,370,Suff.,OTHER
2546,2547,765,354,785,373,11,OTHER
2549,2560,795,358,868,380,Nonqualified,OTHER
2562,2566,870,365,902,382,plans,OTHER
2618,2620,1143,359,1181,378,285,OTHER
2747,2749,814,395,852,415,117,OTHER
2794,2796,1058,376,1081,392,12a,OTHER
2798,2800,1098,382,1124,397,See,OTHER
2802,2813,1126,383,1201,403,instructions,OTHER
2815,2817,1202,389,1222,404,for,OTHER
2819,2821,1223,390,1249,406,box,OTHER
2823,2824,1253,392,1265,407,12,OTHER
2846,2848,151,408,202,438,182,OTHER
2850,2854,213,412,298,445,Emily,OTHER
2856,2861,311,420,408,450,Courts,OTHER
2941,2942,761,416,777,433,13,OTHER
2944,2952,779,418,824,435,Statutory,OTHER
2954,2963,865,423,918,442,Retirement,OTHER
