0,0,1815,1743,1853,1770,.34,OTHER
0,0,1335,2078,1391,2106,116599,OTHER
105,108,1035,253,1156,305,2018,OTHER
129,131,1171,254,1276,306,W-2,OTHER
145,147,1287,255,1389,307,and,OTHER
164,171,1401,255,1691,307,EARNINGS,OTHER
193,199,1709,253,1995,306,SUMMARY,OTHER
257,259,2225,245,2311,291,ADP,OTHER
278,285,222,317,318,344,Employee,OTHER
299,307,391,313,498,346,Reference,OTHER
315,318,592,316,643,342,Copy,OTHER
359,361,964,314,1006,344,his,OTHER
363,366,1011,314,1070,343,blue,OTHER
368,375,1077,314,1196,343,Earnings,OTHER
377,383,1201,314,1328,342,Summary,OTHER
385,391,1333,314,1429,342,section,OTHER
393,394,1434,314,1459,342,is,OTHER
396,403,1464,314,1579,342,included,OTHER
405,408,1584,314,1639,342,with,OTHER
410,413,1644,314,1705,342,your,OTHER
415,417,1711,314,1767,342,W-2,OTHER
419,420,1773,314,1800,343,to,OTHER
422,425,1806,314,1864,343,help,OTHER
427,434,1876,313,1985,344,describe,OTHER
436,443,1991,313,2098,344,portions,OTHER
445,446,2103,313,2129,345,in,OTHER
448,451,2134,312,2206,346,more,OTHER
453,459,2216,312,2288,346,detail.,OTHER
491,494,329,351,386,376,Wage,OTHER
496,498,428,346,465,370,and,OTHER
500,502,506,346,544,372,Tax,OTHER
558,559,965,344,1000,371,he,OTHER
561,567,1005,343,1107,371,reverse,OTHER
569,572,1114,343,1171,370,side,OTHER
574,581,1176,343,1289,370,includes,OTHER
583,589,1294,343,1394,370,general,OTHER
591,601,1399,343,1547,370,information,OTHER
603,606,1554,343,1607,370,that,OTHER
608,610,1612,343,1660,370,you,OTHER
612,614,1666,343,1725,370,may,OTHER
616,619,1731,343,1787,370,also,OTHER
621,624,1793,343,1843,370,find,OTHER
626,633,1847,343,1945,370,helpful.,OTHER
638,640,112,380,169,417,N-2,OTHER
665,673,324,371,403,396,Statement,OTHER
685,688,583,386,667,418,2018,taxYear
691,694,99,432,134,458,Copy,OTHER
696,696,137,431,148,455,C,OTHER
698,700,151,431,171,454,for,OTHER
702,711,174,431,250,455,employee's,OTHER
713,720,252,432,322,460,records.,OTHER
739,741,564,422,596,448,DMB,OTHER
743,745,600,422,626,448,No.,OTHER
747,755,630,421,708,448,1545-0008,OTHER
794,795,1025,425,1048,455,1.,OTHER
797,799,1052,425,1096,455,The,OTHER
801,809,1100,425,1212,455,following,OTHER
811,821,1216,424,1353,454,information,OTHER
823,830,1358,424,1448,455,reflects,OTHER
832,835,1452,424,1508,455,your,OTHER
837,841,1512,424,1564,455,final,OTHER
843,846,1568,424,1624,455,2018,OTHER
848,850,1628,424,1676,455,pay,OTHER
852,855,1680,424,1732,455,stub,OTHER
857,860,1736,424,1790,455,plus,OTHER
862,864,1794,424,1840,455,any,OTHER
866,876,1845,424,1991,456,adjustments,OTHER
878,886,1995,424,2113,456,submitted,OTHER
888,889,2117,425,2149,456,by,OTHER
891,894,2154,425,2209,457,your,OTHER
896,904,2214,425,2337,457,employer.,OTHER
907,907,100,449,119,476,d,OTHER
909,915,130,449,185,476,Control,OTHER
917,922,188,445,257,475,number,OTHER
924,928,306,449,348,486,Dept.,OTHER
930,931,350,460,379,490,50,OTHER
960,967,614,450,679,480,Emplover,OTHER
969,971,684,450,709,479,use,OTHER
973,976,714,452,753,484,only,OTHER
978,979,758,458,781,488,36,OTHER
981,986,97,474,165,500,335837,OTHER
1029,1029,561,465,582,495,A,OTHER
1092,1096,1102,472,1144,499,Gross,OTHER
1098,1100,1148,468,1180,498,Pay,OTHER
1108,1115,1262,467,1333,494,222530.6,OTHER
1137,1137,1638,469,1645,494,1,OTHER
1139,1145,1648,466,1708,493,1708.96,OTHER
1153,1160,1835,471,1901,498,WA.State,OTHER
1162,1167,1906,472,1961,498,Income,OTHER
1169,1171,1966,471,1993,497,Tax,OTHER
1173,1179,2069,465,2125,494,7176.59,OTHER
1322,1324,1458,488,1480,515,Tax,OTHER
1326,1333,1484,485,1561,515,Withheld,OTHER
1353,1355,1835,497,1867,518,Box,OTHER
1361,1370,132,512,213,542,Employer's,OTHER
1372,1376,217,513,265,541,"name,",OTHER
1378,1385,268,513,332,542,"address,",OTHER
1387,1389,335,515,364,543,and,OTHER
1391,1393,367,516,394,544,ZIP,OTHER
1395,1398,396,517,446,546,code,OTHER
1498,1500,1458,509,1482,537,Box,OTHER
1502,1502,1485,509,1496,536,4,OTHER
1504,1505,1499,509,1513,535,of,OTHER
1507,1509,1907,500,1944,520,W-2,OTHER
1530,1534,1835,510,1875,538,Local,OTHER
1535,1536,1868,499,1888,519,1/,OTHER
1537,1542,1877,513,1935,538,Income,OTHER
1726,1727,1889,500,1906,519,Of,OTHER
