0,0,1464,293,1595,342,information,OTHER
6,8,399,137,471,178,W-2,OTHER
45,48,1166,161,1283,228,2018,OTHER
50,52,1284,182,1385,246,W-2,OTHER
54,56,1386,200,1481,263,and,OTHER
58,65,1482,217,1738,309,EARNINGS,OTHER
67,73,1745,263,1992,355,SUMMARY,OTHER
94,97,784,203,865,249,2018,taxYear
104,107,1094,200,1142,235,This,OTHER
109,112,1143,207,1198,245,blue,OTHER
114,121,1199,216,1304,264,Earnings,OTHER
123,125,1305,233,1354,273,Som,OTHER
156,158,1093,222,1135,256,The,OTHER
160,166,1135,230,1224,275,reverse,OTHER
168,171,1224,248,1274,286,side,OTHER
173,180,1274,258,1376,305,includes,OTHER
182,188,1376,278,1463,320,general,OTHER
197,200,1457,260,1503,300,tion,OTHER
202,205,1595,314,1644,349,that,OTHER
207,209,1645,322,1690,356,you,OTHER
211,213,1690,328,1746,363,may,OTHER
215,218,1747,336,1799,370,also,OTHER
220,226,1800,343,1976,390,figtree,OTHER
228,235,1977,362,2070,397,portions,OTHER
237,238,1505,269,1527,304,is,OTHER
240,242,2099,373,2146,401,men,OTHER
308,309,2071,371,2098,398,is,OTHER
311,318,1529,273,1629,322,included,OTHER
320,323,1632,291,1679,330,with,OTHER
325,328,1682,299,1736,340,your,OTHER
330,333,1739,309,1788,349,W/-2,OTHER
335,336,1791,318,1817,354,to,OTHER
338,341,1820,323,1882,366,help,OTHER
393,394,1297,805,1382,894,E.,OTHER
409,411,1493,819,1781,960,ECC,OTHER
412,412,1827,831,1944,989,E,OTHER
446,448,1077,1009,1127,1048,090,OTHER
450,457,1127,1018,1243,1068,mckenzie,OTHER
459,464,1243,1040,1335,1085,Estate,OTHER
466,470,1335,1056,1410,1098,Suite,OTHER
472,474,1410,1070,1460,1107,$17,OTHER
480,482,32,2221,97,2258,W-2,OTHER
490,493,418,2286,493,2330,2018,OTHER
508,510,653,2333,716,2366,W-2,OTHER
538,541,1045,2398,1122,2441,2018,OTHER
589,591,1311,2447,1377,2486,W-2,OTHER
671,674,1698,2511,1778,2557,2018,OTHER
