0,0,1032,672,1089,694,65912.02,OTHER
0,0,1700,1358,1766,1379,17349.89,OTHER
0,0,1318,1435,1379,1457,9904280,OTHER
98,101,784,31,891,71,2018,OTHER
103,105,905,32,993,72,W-2,OTHER
107,109,1005,33,1090,73,and,OTHER
111,118,1104,32,1354,73,EARNINGS,OTHER
120,126,1370,30,1615,73,SUMMARY,OTHER
184,186,1768,18,1836,58,ADP,OTHER
205,212,119,81,201,105,Employee,OTHER
214,222,253,80,346,103,Reference,OTHER
241,244,421,81,460,101,Copy,OTHER
280,283,716,77,764,102,This,OTHER
285,288,767,77,820,102,blue,OTHER
290,297,824,78,928,103,Earnings,OTHER
299,305,931,79,1043,103,Summary,OTHER
307,313,1047,80,1129,103,section,OTHER
315,316,1133,80,1155,103,is,OTHER
318,325,1159,80,1258,103,included,OTHER
327,330,1261,80,1310,103,with,OTHER
332,335,1314,80,1367,103,your,OTHER
337,339,1371,80,1421,103,W-2,OTHER
341,342,1425,80,1449,103,to,OTHER
344,347,1453,80,1504,103,help,OTHER
349,356,1511,79,1606,103,describe,OTHER
358,365,1610,78,1703,103,portions,OTHER
367,368,1708,78,1730,103,in,OTHER
370,373,1734,77,1797,103,more,OTHER
375,381,1805,76,1868,103,detail.,OTHER
412,415,204,106,255,132,Wage,OTHER
417,419,287,110,313,128,and,OTHER
421,423,351,111,380,131,Tax,OTHER
475,477,716,103,757,130,The,OTHER
479,485,762,104,849,130,reverse,OTHER
487,490,853,105,901,130,side,OTHER
492,499,906,106,1003,130,includes,OTHER
501,507,1008,107,1093,130,general,OTHER
509,519,1098,107,1226,130,information,OTHER
521,524,1231,107,1277,130,that,OTHER
526,528,1282,107,1324,130,you,OTHER
530,532,1328,107,1379,130,may,OTHER
534,537,1384,106,1433,130,also,OTHER
539,542,1437,106,1480,130,find,OTHER
544,550,1484,105,1559,130,helpful,OTHER
553,555,21,138,82,165,W-2,OTHER
583,591,202,128,269,152,Statement,OTHER
602,605,413,139,483,168,2018,taxYear
607,610,16,183,48,204,Copy,OTHER
612,612,50,183,60,202,C,OTHER
614,616,62,182,79,202,for,OTHER
618,627,81,182,148,204,employee's,OTHER
629,636,149,184,205,208,records.,OTHER
658,659,407,172,426,194,MB,OTHER
661,663,430,172,452,195,No.,OTHER
665,673,456,172,519,197,1545-0008,OTHER
707,708,778,179,800,204,1.,OTHER
710,712,804,179,841,204,The,OTHER
714,722,846,179,934,204,following,OTHER
724,734,938,179,1056,205,information,OTHER
736,743,1061,179,1137,205,reflects,OTHER
745,748,1142,179,1188,205,your,OTHER
750,754,1193,180,1238,205,final,OTHER
756,759,1243,180,1291,205,2018,OTHER
