0,0,413,593,437,609,12a,OTHER
43,43,322,81,333,95,2,OTHER
45,51,349,71,400,92,Federal,OTHER
53,58,400,62,449,83,income,OTHER
60,62,451,58,473,75,tax,OTHER
63,68,452,70,500,90,59149.,box2FederalIncomeTaxWithheld
72,73,500,67,517,83,63,box2FederalIncomeTaxWithheld
142,149,474,46,533,71,withheld,OTHER
154,159,101,116,150,136,"Wages,",OTHER
160,168,137,121,209,146,217121.52,box1WagesTipsAndOtherCompensations
180,184,151,111,180,128,"tips,",OTHER
186,190,181,104,218,123,other,OTHER
192,196,218,98,258,117,comp.,OTHER
214,214,332,132,342,146,4,OTHER
218,223,360,124,400,143,Social,OTHER
225,232,401,115,453,136,security,OTHER
234,238,461,124,502,142,20878,box4SocialSecurityTaxWithheld
304,306,453,111,476,127,tax,OTHER
312,314,502,119,528,136,.87,box4SocialSecurityTaxWithheld
385,392,477,99,535,123,withheld,OTHER
394,394,79,175,90,188,3,OTHER
396,401,112,168,152,187,Social,OTHER
402,407,147,178,194,197,272926,box3SocialSecurityWages
421,428,153,159,204,180,security,OTHER
448,448,194,176,201,189,.,box3SocialSecurityWages
450,451,201,174,217,188,45,box3SocialSecurityWages
452,456,205,151,250,171,wages,OTHER
475,475,342,185,351,198,6,OTHER
478,485,367,172,427,195,Medicare,OTHER
489,491,429,168,451,184,tax,OTHER
496,499,472,176,503,193,4765,OTHER
564,571,453,156,509,179,withheld,OTHER
573,573,503,175,510,188,.,OTHER
575,576,510,172,528,187,46,OTHER
654,661,524,199,580,220,Employer,OTHER
663,665,580,195,605,211,use,OTHER
667,668,602,207,619,222,36,OTHER
669,672,606,190,630,206,only,OTHER
675,675,88,228,99,240,5,OTHER
677,684,119,216,179,238,Medicare,OTHER
685,692,156,226,220,248,164326.3,OTHER
710,714,181,209,225,228,wages,OTHER
716,718,226,204,252,220,and,OTHER
720,723,253,200,278,216,tips,OTHER
762,765,287,244,316,260,Dept,OTHER
766,768,309,258,329,273,150,OTHER
770,773,352,235,376,248,Corp,OTHER
793,793,478,229,489,243,A,OTHER
802,808,125,270,173,289,Control,OTHER
810,815,174,262,224,282,number,OTHER
819,819,100,279,111,292,d,OTHER
820,826,101,289,159,311,1783287,OTHER
832,832,105,331,117,345,C,OTHER
834,843,137,317,208,342,Employer's,OTHER
849,853,208,309,252,329,"name,",OTHER
855,862,252,299,308,322,"address,",OTHER
864,866,309,294,335,312,and,OTHER
868,870,337,308,371,330,LLC,employerName
886,899,172,315,330,359,Wright-Mullins,employerName
917,919,336,290,358,307,ZIP,OTHER
921,924,360,283,394,303,code,OTHER
942,944,179,360,216,384,742,employerAddressStreet_name
946,953,221,344,314,377,Hamilton,employerAddressStreet_name
955,960,318,330,388,360,Divide,employerAddressStreet_name
962,971,389,337,500,374,63584-4218,employerAddressZip
972,977,500,368,574,399,#02021,OTHER
995,1007,184,367,330,411,Catherinefurt,employerAddressCity
1009,1010,335,361,360,384,WA,employerAddressState
1012,1016,377,392,440,421,Batch,OTHER
1070,1070,385,439,399,456,a,OTHER
1072,1081,413,426,488,452,Employee's,OTHER
1083,1085,489,421,517,439,SSA,OTHER
1087,1092,519,412,567,434,number,OTHER
1102,1102,133,483,145,498,b,OTHER
1104,1113,165,470,236,496,Employer's,OTHER
1120,1122,237,465,264,484,FED,OTHER
1124,1125,265,462,281,479,ID,OTHER
1127,1132,282,453,334,476,number,OTHER
1154,1163,201,480,279,505,63-5533013,einEmployerIdentificationNumber
1191,1199,422,480,483,503,Allocated,OTHER
1201,1204,484,476,509,492,tips,OTHER
1206,1213,524,478,590,502,164326.3,OTHER
1230,1235,175,527,216,546,Social,OTHER
1236,1241,210,537,258,557,272926,OTHER
1265,1272,217,518,269,539,security,OTHER
1273,1273,259,536,265,549,.,OTHER
1275,1276,265,533,282,548,45,OTHER
1277,1280,269,515,293,531,tips,OTHER
1299,1300,405,542,421,557,10,OTHER
1302,1310,433,529,505,553,Dependent,OTHER
1312,1315,506,524,535,541,care,OTHER
1317,1324,536,515,588,536,benefits,OTHER
1404,1405,533,537,552,552,19,OTHER
1419,1419,151,588,162,601,9,OTHER
1421,1432,183,573,255,597,Verification,OTHER
1434,1437,259,566,293,585,Code,OTHER
1464,1465,594,562,611,579,12,OTHER
1468,1470,444,588,470,604,See,OTHER
1472,1483,470,575,546,600,instructions,OTHER
1484,1487,545,602,575,621,4033,OTHER
1569,1571,545,571,567,587,for,OTHER
1573,1575,566,565,595,584,box,OTHER
1577,1578,422,643,441,660,12,OTHER
1593,1594,162,639,178,653,11,OTHER
1596,1607,194,623,278,649,Nonqualified,OTHER
1660,1662,549,622,572,639,445,OTHER
1685,1687,228,643,251,658,137,OTHER
1689,1693,278,616,316,634,plans,OTHER
1723,1723,543,665,554,680,1,OTHER
1744,1746,552,641,572,657,384,OTHER
1807,1809,426,663,447,679,12c,OTHER
1828,1830,555,660,577,677,365,OTHER
1914,1916,558,678,578,692,3rd,OTHER
1918,1922,578,674,609,689,party,OTHER
1924,1927,609,670,634,685,sick,OTHER
1929,1931,635,666,654,681,pay,OTHER
1948,1949,171,689,185,703,14,OTHER
1951,1955,207,682,245,700,Other,OTHER
1992,1994,429,678,455,697,12d,OTHER
2056,2057,431,701,447,716,13,OTHER
2059,2062,446,696,470,713,Stat,OTHER
2064,2066,470,692,494,709,emp,OTHER
2068,2071,494,688,517,706,Ret.,OTHER
2073,2076,517,683,544,702,Plan,OTHER
2097,2099,187,778,208,796,elf,OTHER
2101,2109,217,765,288,791,Employees,OTHER
2111,2115,288,757,332,779,"name,",OTHER
