42,42,503,198,524,227,a,OTHER
44,53,537,196,674,230,Employee's,OTHER
55,60,678,196,748,231,social,OTHER
62,69,753,196,845,231,security,OTHER
71,76,849,196,937,231,number,OTHER
130,134,1586,193,1653,229,"Safe,",OTHER
136,144,1660,196,1795,233,Accurate.,OTHER
164,168,2091,196,2147,229,Visit,OTHER
170,172,2153,196,2196,230,the,OTHER
174,176,2202,195,2254,230,IRS,OTHER
178,184,2260,193,2366,231,Website,OTHER
336,338,1833,219,1945,263,Rev,OTHER
340,343,1956,220,2046,263,file,OTHER
403,413,697,237,981,277,382-60-1185,ssnOfEmployee
450,452,1273,242,1325,272,OMB,OTHER
454,456,1331,242,1371,273,No.,OTHER
458,466,1376,241,1491,274,1545-0008,OTHER
475,479,1589,242,1675,276,FAST!,OTHER
481,482,1681,242,1722,279,Us,OTHER
508,509,2094,239,2115,275,at,OTHER
511,527,2122,240,2341,279,www.irs.gov/efile,OTHER
530,530,114,288,139,321,b,OTHER
532,539,147,289,249,321,Employer,OTHER
541,554,253,289,387,320,identification,OTHER
556,561,392,289,476,319,number,OTHER
563,567,481,288,545,319,(EIN),OTHER
647,652,1447,289,1530,323,"Wages,",OTHER
654,658,1536,293,1582,323,"tips,",OTHER
660,664,1588,294,1643,322,other,OTHER
666,677,1648,286,1806,322,compensation,OTHER
685,691,2002,291,2084,322,Federal,OTHER
693,698,2090,291,2170,322,income,OTHER
700,702,2175,290,2208,320,tax,OTHER
704,711,2214,288,2296,319,withheld,OTHER
723,732,218,330,477,366,30-7003064,einEmployerIdentificationNumber
833,838,1476,329,1629,366,217891,box1WagesTipsAndOtherCompensations
840,840,1636,330,1653,366,.,box1WagesTipsAndOtherCompensations
842,843,1659,329,1704,366,52,box1WagesTipsAndOtherCompensations
868,872,1977,328,2104,366,56171,box2FederalIncomeTaxWithheld
874,874,2110,329,2125,366,.,box2FederalIncomeTaxWithheld
876,877,2131,329,2176,366,54,box2FederalIncomeTaxWithheld
881,881,118,378,141,411,c,OTHER
883,892,148,379,264,413,Employer's,OTHER
894,898,270,381,340,414,"name,",OTHER
900,907,346,382,438,414,"address,",OTHER
909,911,443,381,486,414,and,OTHER
913,915,491,381,529,414,ZIP,OTHER
917,920,534,380,597,414,code,OTHER
999,1004,1450,382,1515,413,Social,OTHER
1006,1013,1520,382,1603,413,security,OTHER
1015,1019,1608,382,1677,415,wages,OTHER
1049,1054,2004,381,2071,412,Social,OTHER
1056,1063,2076,383,2157,412,security,OTHER
1065,1067,2163,382,2196,412,tax,OTHER
1069,1076,2202,379,2288,411,withheld,OTHER
1089,1097,223,427,450,466,Dickerson,employerName
1099,1101,477,425,557,466,LLC,employerName
1103,1105,584,423,662,464,Inc,employerName
1200,1206,1475,425,1655,465,266738.,box3SocialSecurityWages
1208,1209,1662,425,1709,467,73,box3SocialSecurityWages
1247,1251,1979,428,2104,462,20405,box4SocialSecurityTaxWithheld
1253,1255,2110,428,2173,467,.51,box4SocialSecurityTaxWithheld
1377,1384,1447,469,1548,503,Medicare,OTHER
1386,1390,1554,472,1625,504,wages,OTHER
1392,1394,1630,473,1672,504,and,OTHER
1396,1399,1677,472,1712,504,tips,OTHER
1424,1424,1944,472,1969,505,6,OTHER
1426,1433,2003,473,2102,502,Medicare,OTHER
1435,1437,2107,473,2143,502,tax,OTHER
1439,1446,2148,472,2242,503,withheld,OTHER
1458,1460,220,487,293,522,412,employerAddressStreet_name
1462,1466,317,487,448,523,Moore,employerAddressStreet_name
1468,1471,479,486,579,525,Camp,employerAddressStreet_name
1595,1603,1475,513,1710,551,279977.14,OTHER
1653,1659,2098,513,2276,550,8119.34,OTHER
1670,1672,213,545,293,582,New,employerAddressCity
1674,1678,317,547,451,582,David,employerAddressCity
1680,1681,475,545,529,582,KS,employerAddressState
1712,1721,635,546,886,585,48544-8839,employerAddressZip
1781,1786,1451,558,1514,595,Social,OTHER
1788,1795,1521,559,1601,596,security,OTHER
1797,1800,1608,560,1654,596,tips,OTHER
1828,1828,1944,556,1964,585,8,OTHER
1829,1837,2003,558,2102,591,Allocated,OTHER
1839,1842,2108,558,2148,593,tips,OTHER
1966,1971,1477,604,1628,642,266738,OTHER
1973,1973,1634,604,1654,642,.,OTHER
1975,1976,1659,602,1704,642,73,OTHER
2024,2029,2098,607,2252,643,279977,OTHER
2031,2031,2258,608,2275,643,.,OTHER
2033,2034,2281,608,2328,645,14,OTHER
2037,2037,121,649,140,679,d,OTHER
2039,2045,149,648,227,680,Control,OTHER
2047,2052,232,646,310,680,number,OTHER
2202,2203,1934,649,1958,670,10,OTHER
2205,2213,2003,649,2123,680,Dependent,OTHER
2215,2218,2128,649,2175,680,care,OTHER
