0,0,366,607,479,631,86819.14,OTHER
0,0,683,910,748,929,1545-0008,OTHER
39,39,244,8,256,25,a,OTHER
41,50,263,8,337,26,Employee's,OTHER
52,57,340,10,378,27,social,OTHER
59,66,382,11,430,27,security,OTHER
68,73,433,12,483,27,number,OTHER
123,127,811,16,848,35,"Safe,",OTHER
129,137,851,17,928,37,"Accurate,",OTHER
139,144,935,33,1052,60,mefile,OTHER
145,149,1076,23,1108,40,Visit,OTHER
151,153,1110,23,1131,40,the,OTHER
155,157,1134,23,1162,41,IRS,OTHER
159,165,1164,24,1226,42,Website,OTHER
220,230,341,32,493,55,560-52-7390,ssnOfEmployee
261,263,639,39,670,54,OMB,OTHER
265,267,673,39,697,54,No.,OTHER
269,277,699,39,759,55,1545-0008,OTHER
290,294,809,39,859,59,FAST!,OTHER
296,298,862,41,897,60,Use,OTHER
332,333,1075,46,1090,65,at,OTHER
335,341,1092,47,1148,66,www.irs,OTHER
343,351,1151,47,1211,67,govefile.,OTHER
358,358,38,55,50,73,b,OTHER
360,367,56,55,111,74,Employer,OTHER
369,382,114,57,187,75,identification,OTHER
384,389,190,58,234,75,number,OTHER
391,395,236,59,269,75,(EIN),OTHER
461,466,731,67,777,87,"Wages,",OTHER
468,472,780,68,807,88,"tips,",OTHER
474,478,811,69,840,88,other,OTHER
480,491,843,70,925,88,compensation,OTHER
511,517,1021,71,1065,91,Federal,OTHER
519,524,1068,73,1111,92,income,OTHER
526,528,1113,74,1133,92,tax,OTHER
530,537,1136,75,1182,92,withheld,OTHER
553,562,93,81,233,104,80-1359580,einEmployerIdentificationNumber
652,660,752,90,876,114,180688.53,box1WagesTipsAndOtherCompensations
696,700,1014,95,1082,117,53542,box2FederalIncomeTaxWithheld
702,702,1086,96,1095,118,.,box2FederalIncomeTaxWithheld
704,705,1099,96,1125,119,66,box2FederalIncomeTaxWithheld
712,712,39,106,52,124,c,OTHER
714,723,55,106,119,127,Employer's,OTHER
725,729,122,108,164,127,"name,",OTHER
731,733,196,111,214,129,"ss,",OTHER
735,737,217,110,238,129,and,OTHER
739,741,241,111,262,129,ZIP,OTHER
743,746,265,111,297,130,code,OTHER
817,822,734,120,769,136,Social,OTHER
824,826,771,120,791,136,sec,OTHER
827,831,794,120,817,139,urity,OTHER
833,837,820,121,864,139,wages,OTHER
853,865,92,134,276,158,Hughes-Fields,employerName
867,869,287,136,332,158,LLC,employerName
1004,1011,1063,125,1107,144,security,OTHER
1013,1015,1109,126,1129,145,tax,OTHER
1017,1024,1132,126,1184,145,withheld,OTHER
1139,1144,751,144,834,166,204715,box3SocialSecurityWages
1146,1146,839,145,847,166,.,box3SocialSecurityWages
1148,1149,850,145,878,167,56,box3SocialSecurityWages
1182,1186,1013,149,1082,170,15660,box4SocialSecurityTaxWithheld
1188,1188,1085,149,1095,171,.,box4SocialSecurityTaxWithheld
1190,1191,1099,150,1125,171,74,box4SocialSecurityTaxWithheld
1206,1210,91,166,163,190,86184,employerAddressStreet_name
1212,1219,173,168,288,193,Michelle,employerAddressStreet_name
1221,1226,301,171,387,194,Unions,employerAddressStreet_name
1302,1309,729,169,784,188,Medicare,OTHER
1311,1315,787,171,826,190,wages,OTHER
1317,1319,829,172,850,190,and,OTHER
1321,1324,853,172,878,190,tips,OTHER
1348,1355,1019,174,1073,193,Medicare,OTHER
1357,1359,1076,175,1096,194,tax,OTHER
1361,1368,1098,175,1152,194,withheld,OTHER
1384,1393,91,202,231,225,Wayneville,employerAddressCity
1416,1417,300,203,328,225,RI,employerAddressState
1431,1440,399,205,538,231,96920-4460,employerAddressZip
1482,1487,751,195,834,217,138488,OTHER
1489,1491,838,197,875,218,.09,OTHER
1537,1540,1077,200,1130,221,4016,OTHER
1542,1544,1134,201,1174,222,.15,OTHER
1654,1659,730,222,767,238,Social,OTHER
1661,1668,769,222,816,240,security,OTHER
1670,1673,818,222,841,240,tips,OTHER
1701,1709,1020,228,1075,243,Allocated,OTHER
1711,1714,1077,229,1101,243,tips,OTHER
1721,1721,38,261,48,275,d,OTHER
1723,1729,52,261,95,277,Control,OTHER
1731,1736,97,262,141,279,number,OTHER
1829,1834,751,246,832,267,204715,OTHER
1842,1842,836,247,844,268,.,OTHER
1846,1847,847,247,872,268,56,OTHER
1883,1888,1074,253,1157,273,138488,OTHER
1890,1892,1161,254,1198,274,.09,OTHER
1909,1915,91,286,187,309,5981973,OTHER
2047,2048,990,278,1001,290,10,OTHER
2050,2058,1018,278,1083,294,Dependent,OTHER
2060,2063,1085,280,1111,295,care,OTHER
2065,2072,1114,280,1159,295,benefits,OTHER
2079,2079,35,310,47,328,e,OTHER
2081,2090,51,311,119,330,Employee's,OTHER
2092,2096,122,312,144,330,first,OTHER
2098,2101,147,313,181,331,name,OTHER
2103,2105,184,314,205,331,and,OTHER
2107,2113,208,314,240,331,initial,OTHER
2120,2123,302,315,328,330,Last,OTHER
2125,2128,331,316,364,331,name,OTHER
2171,2175,655,321,688,337,Suff.,OTHER
2177,2178,697,322,714,337,11,OTHER
2180,2191,726,322,800,340,Nonqualified,OTHER
2193,2197,801,325,835,342,plans,OTHER
2240,2242,1074,305,1112,322,187,OTHER
2396,2398,990,328,1013,342,12a,OTHER
2400,2402,1032,330,1057,344,See,OTHER
2404,2415,1060,331,1133,345,instructions,OTHER
2417,2419,1135,331,1154,346,for,OTHER
2421,2423,1156,330,1182,346,box,OTHER
2425,2426,1187,329,1200,346,12,OTHER
2442,2446,89,361,167,386,Amber,employeeName
2469,2477,248,363,390,390,Patterson,employeeName
2540,2542,748,359,784,376,133,OTHER
2587,2587,1028,363,1040,378,R,OTHER
2589,2592,1073,363,1124,384,3061,OTHER
2696,2697,696,383,713,397,13,OTHER
2699,2707,715,384,758,399,Statutory,OTHER
2709,2718,804,385,853,398,Retirement,OTHER
2720,2730,890,387,938,402,Third-party,OTHER
2732,2733,989,385,1006,401,12,OTHER
2749,2751,88,406,137,432,073,OTHER
2753,2758,151,407,247,435,Austin,OTHER
2760,2764,264,410,344,437,Plaza,OTHER
2840,2847,714,401,761,416,employee,OTHER
2985,2985,894,423,908,443,X,OTHER
3007,3008,1021,428,1044,445,AA,OTHER
3010,3012,1073,426,1106,446,775,OTHER
3028,3031,85,444,152,472,West,OTHER
3033,3042,170,447,328,477,Joshuaberg,OTHER
