30,33,784,102,895,158,2018,OTHER
35,37,901,94,999,150,W-2,OTHER
39,41,1006,88,1097,143,and,OTHER
43,50,1104,70,1360,137,EARNINGS,OTHER
52,58,1370,52,1616,118,SUMMARY,OTHER
86,89,719,160,764,194,This,OTHER
91,94,768,156,824,191,Blue,OTHER
96,103,828,148,930,188,Earnings,OTHER
105,111,935,141,1051,182,Summary,OTHER
126,129,421,242,496,274,2018,taxYear
131,133,30,268,89,302,W-2,OTHER
206,209,1867,2262,1943,2294,2018,OTHER
273,274,1509,2290,1543,2320,-2,OTHER
331,334,1204,2308,1280,2340,2018,OTHER
355,358,569,2351,645,2385,2018,OTHER
369,372,810,2336,869,2366,W/-2,OTHER
380,382,179,2380,237,2411,W-2,OTHER
