5,10,99,20,146,34,"Wages,",OTHER
12,16,149,21,177,34,"tips,",OTHER
18,22,179,21,214,34,other,OTHER
24,28,216,21,256,35,comp.,OTHER
37,37,323,19,334,34,2,OTHER
39,45,350,19,400,34,Federal,OTHER
47,52,403,20,451,33,income,OTHER
54,56,454,20,476,33,tax,OTHER
58,65,478,20,535,34,withheld,OTHER
77,82,132,38,179,50,185228,box1WagesTipsAndOtherCompensations
84,84,181,39,187,51,.,box1WagesTipsAndOtherCompensations
86,87,189,39,202,51,44,box1WagesTipsAndOtherCompensations
128,132,453,39,491,50,35009,box2FederalIncomeTaxWithheld
134,134,493,39,498,51,.,box2FederalIncomeTaxWithheld
136,137,500,39,515,51,12,box2FederalIncomeTaxWithheld
139,139,68,71,76,83,3,OTHER
141,146,100,73,140,86,Social,OTHER
148,155,142,73,193,86,security,OTHER
157,161,196,73,239,87,wages,OTHER
177,177,325,70,334,85,4,OTHER
179,184,352,73,392,86,Social,OTHER
186,193,394,73,445,86,security,OTHER
195,197,447,73,468,86,tax,OTHER
199,206,471,72,528,86,withheld,OTHER
218,223,132,90,179,102,177043,box3SocialSecurityWages
225,225,181,90,185,102,.,box3SocialSecurityWages
227,228,187,90,201,102,07,box3SocialSecurityWages
269,274,452,90,499,103,13543.,box4SocialSecurityTaxWithheld
276,277,501,90,515,103,79,box4SocialSecurityTaxWithheld
279,279,68,123,75,136,5,OTHER
281,288,98,124,159,138,Medicare,OTHER
290,294,161,125,205,138,wages,OTHER
296,298,207,125,232,138,and,OTHER
300,303,235,125,257,138,tips,OTHER
316,316,323,123,333,137,6,OTHER
317,324,349,124,410,138,Medicare,OTHER
326,328,413,124,435,137,tax,OTHER
330,337,437,124,492,138,withheld,OTHER
349,354,132,142,179,155,214197,OTHER
356,356,182,142,187,155,.,OTHER
358,359,189,142,203,155,72,OTHER
400,403,453,142,483,154,6211,OTHER
405,405,485,142,491,154,.,OTHER
407,408,493,142,508,154,73,OTHER
410,410,70,173,80,188,d,OTHER
412,418,96,176,143,190,Control,OTHER
420,425,145,177,195,190,number,OTHER
440,443,260,174,287,189,Dept,OTHER
445,449,323,175,352,190,Corp.,OTHER
479,486,501,176,555,190,Employer,OTHER
488,490,558,177,581,190,use,OTHER
492,495,584,177,608,190,only,OTHER
497,503,69,194,123,207,7749659,OTHER
530,532,281,192,299,205,150,OTHER
558,558,452,192,460,205,A,OTHER
578,579,577,193,589,205,36,OTHER
581,581,67,227,76,241,C,OTHER
583,592,98,228,168,243,Employer's,OTHER
594,598,171,228,213,243,"name,",OTHER
600,607,215,228,270,243,"address,",OTHER
609,611,272,228,297,243,and,OTHER
613,615,300,228,321,243,ZIP,OTHER
617,620,325,228,357,242,code,OTHER
632,639,132,249,220,266,Calderon,employerName
641,643,233,249,265,266,and,employerName
645,648,277,249,320,266,Sons,employerName
650,652,332,249,365,266,and,employerName
654,657,376,249,419,266,Sons,employerName
669,672,134,274,178,291,3584,employerAddressStreet_name
674,680,187,275,266,292,Bennett,employerAddressStreet_name
682,687,276,274,340,292,Rapids,employerAddressStreet_name
699,702,132,301,177,317,West,employerAddressCity
704,711,190,301,276,318,Johntown,employerAddressCity
727,728,330,300,353,316,WV,employerAddressState
730,739,398,299,506,317,16441-1778,employerAddressZip
778,782,323,344,382,363,Batch,OTHER
801,806,447,343,519,362,#02021,OTHER
808,808,66,383,76,397,b,OTHER
810,819,100,385,169,399,Employer's,OTHER
821,823,172,385,197,399,FED,OTHER
825,826,201,385,215,399,ID,OTHER
828,833,218,385,267,399,number,OTHER
845,845,324,383,335,399,a,OTHER
847,856,351,385,426,399,Employee's,OTHER
858,860,429,385,456,399,SSA,OTHER
862,867,459,386,507,399,number,OTHER
879,888,132,403,210,416,58-6019724,einEmployerIdentificationNumber
890,890,67,435,77,449,7,OTHER
892,897,100,437,140,451,Social,OTHER
899,906,142,437,192,451,security,OTHER
908,911,195,438,220,452,tips,OTHER
927,927,324,435,335,451,8,OTHER
929,937,350,437,411,451,Allocated,OTHER
939,942,414,438,438,452,tips,OTHER
954,960,132,455,186,467,177043.,OTHER
962,963,188,455,204,468,07,OTHER
1004,1009,452,455,499,468,214197,OTHER
1011,1011,501,455,506,468,.,OTHER
1013,1014,509,455,523,469,72,OTHER
1016,1016,67,486,76,500,9,OTHER
1018,1029,98,489,172,503,Verification,OTHER
1031,1034,176,489,209,503,Code,OTHER
1053,1054,325,488,340,504,10,OTHER
1056,1064,353,489,423,503,Dependent,OTHER
1066,1069,426,490,455,502,care,OTHER
1071,1078,458,489,510,503,benefits,OTHER
1140,1142,452,507,473,518,168,OTHER
1144,1145,68,540,80,553,11,OTHER
1147,1158,101,541,184,555,Nonqualified,OTHER
1160,1164,186,541,222,555,plans,OTHER
1181,1183,325,540,348,555,12a,OTHER
1185,1187,354,541,379,555,See,OTHER
1189,1200,382,541,455,555,instructions,OTHER
1202,1204,458,541,476,555,for,OTHER
1206,1208,479,541,505,555,box,OTHER
1210,1211,508,541,524,555,12,OTHER
1223,1225,132,559,151,570,229,OTHER
1227,1228,69,593,81,606,14,OTHER
1230,1234,105,595,143,607,Other,OTHER
1285,1285,440,577,449,590,|,OTHER
1287,1290,452,575,484,590,4160,OTHER
1329,1331,324,592,344,606,12b,OTHER
1350,1350,439,596,448,608,1,OTHER
1352,1354,452,595,476,607,432,OTHER
1393,1395,325,611,342,625,12c,OTHER
1414,1414,440,614,448,626,|,OTHER
1415,1415,440,629,449,644,1,OTHER
1417,1419,452,630,474,644,288,OTHER
1482,1484,452,613,476,626,863,OTHER
1523,1525,325,629,345,642,12d,OTHER
1564,1565,324,649,336,662,13,OTHER
1567,1570,339,649,360,662,Stat,OTHER
1572,1574,362,649,385,662,emp,OTHER
1576,1579,387,649,409,662,Ret.,OTHER
1581,1584,411,648,435,661,Plan,OTHER
1586,1588,451,648,469,662,3rd,OTHER
1590,1594,471,649,502,663,party,OTHER
1596,1599,504,649,526,663,sick,OTHER
1601,1603,529,650,549,663,pay,OTHER
1605,1607,68,684,88,698,elf,OTHER
1609,1617,99,684,169,699,Employees,OTHER
1619,1623,172,685,214,699,"name,",OTHER
1625,1631,217,685,268,699,address,OTHER
1633,1635,270,684,295,698,and,OTHER
1637,1639,297,684,318,698,ZIP,OTHER
1641,1644,322,684,354,698,code,OTHER
1670,1670,483,667,489,678,0,OTHER
1683,1687,132,722,187,738,Amber,employeeName
1689,1694,232,723,297,737,Harmon,employeeName
1707,1709,134,747,167,764,422,OTHER
1711,1716,176,748,242,764,Graham,OTHER
1718,1725,254,749,343,767,Causeway,OTHER
1738,1741,132,774,177,789,West,OTHER
1743,1753,189,775,309,791,Sethchester,OTHER
1776,1777,365,774,384,788,IN,OTHER
1779,1788,430,773,539,789,03328-3703,OTHER
1790,1791,69,812,82,825,15,OTHER
1793,1797,103,813,137,826,State,OTHER
1811,1820,195,813,259,826,Employers',OTHER
1822,1826,261,814,290,826,state,OTHER
1828,1829,292,813,305,827,ID,OTHER
1831,1832,307,813,323,827,no,OTHER
1834,1835,325,813,339,827,16,OTHER
1837,1841,358,813,391,826,State,OTHER
1843,1848,394,813,441,827,"wages,",OTHER
1850,1854,444,814,471,827,"tips,",OTHER
1856,1859,473,814,500,827,etc.,OTHER
1872,1873,133,830,146,842,IL,OTHER
1875,1883,194,830,265,844,21-07-860,OTHER
1923,1927,452,830,491,844,92543,box16StateWagesTips
1929,1929,493,831,498,844,.,box16StateWagesTips
1931,1931,500,830,507,844,3,box16StateWagesTips
1933,1934,69,864,78,877,17,OTHER
1936,1940,106,866,139,878,State,OTHER
1942,1947,142,866,189,878,income,OTHER
1949,1951,193,866,214,879,tax,OTHER
1976,1977,324,863,340,878,18,OTHER
1979,1983,357,865,393,879,Local,OTHER
1985,1990,396,865,443,879,"wages,",OTHER
1992,1996,445,866,474,880,"tips,",OTHER
1998,2001,476,866,500,880,etc.,OTHER
2014,2018,132,883,171,895,11060,box17StateIncomeTax
2020,2020,173,883,178,895,.,box17StateIncomeTax
2022,2023,179,883,195,895,06,box17StateIncomeTax
2065,2070,452,882,499,896,240390,OTHER
2072,2072,501,883,506,896,.,OTHER
2074,2075,508,882,525,896,02,OTHER
2077,2078,68,915,81,929,19,OTHER
2080,2084,104,917,142,930,Local,OTHER
2086,2091,144,917,192,930,income,OTHER
2093,2095,195,918,216,930,tax,OTHER
2123,2130,356,916,408,931,Locality,OTHER
2132,2135,411,917,448,931,name,OTHER
2148,2154,132,935,185,948,24074.9,OTHER
2199,2205,450,934,509,948,Michael,OTHER
2207,2214,517,935,580,949,Junction,OTHER
2237,2243,192,970,258,989,Federal,OTHER
2260,2265,330,969,376,990,Filing,OTHER
2280,2283,463,970,508,990,Copy,OTHER
2317,2320,263,994,318,1014,Wage,OTHER
2322,2324,338,996,369,1013,and,OTHER
2326,2328,403,993,430,1012,Tax,OTHER
2331,2333,73,1022,139,1053,W-2,OTHER
2361,2369,255,1019,342,1037,Statement,OTHER
2393,2396,460,1022,539,1053,2018,taxYear
2398,2401,67,1063,98,1079,Copy,OTHER
2403,2403,101,1063,111,1079,B,OTHER
2405,2406,113,1063,126,1078,to,OTHER
2408,2409,129,1064,143,1078,be,OTHER
2411,2415,146,1064,170,1078,filed,OTHER
2417,2420,173,1064,198,1078,with,OTHER
2422,2431,201,1064,266,1078,employee's,OTHER
2433,2439,269,1064,313,1077,Federal,OTHER
2441,2446,316,1064,361,1077,Income,OTHER
2448,2450,364,1064,385,1077,Tax,OTHER
2452,2457,388,1064,429,1077,Return,OTHER
2459,2461,451,1063,481,1077,OMB,OTHER
2463,2465,484,1064,509,1077,No.,OTHER
2467,2475,511,1063,570,1077,1545-0008,OTHER
