39,39,504,937,528,970,a,OTHER
41,50,537,938,672,972,Employee's,OTHER
52,57,676,942,746,973,social,OTHER
59,66,750,940,843,974,security,OTHER
68,73,848,937,941,974,number,OTHER
127,131,1583,938,1655,972,"Safe,",OTHER
133,141,1661,939,1803,976,Accurate.,OTHER
154,158,2092,934,2147,971,Visit,OTHER
160,162,2153,937,2197,973,the,OTHER
164,166,2202,938,2253,974,IRS,OTHER
168,174,2259,937,2371,974,Website,OTHER
319,320,1833,961,1894,1006,Re,OTHER
322,322,1910,961,1939,1006,~,OTHER
324,327,1956,959,2048,1005,file,OTHER
384,394,702,979,980,1019,310-75-6792,ssnOfEmployee
430,432,1272,981,1324,1016,OMB,OTHER
434,436,1331,980,1369,1016,No.,OTHER
438,446,1376,979,1491,1016,1545-0008,OTHER
456,460,1581,982,1676,1017,FAST!,OTHER
462,463,1681,982,1724,1021,Us,OTHER
482,483,2093,985,2116,1019,at,OTHER
485,502,2122,984,2350,1023,www.irs.gov/efile.,OTHER
504,504,115,1032,137,1064,b,OTHER
506,513,149,1033,249,1064,Employer,OTHER
515,528,255,1035,387,1064,identification,OTHER
530,535,393,1033,476,1063,number,OTHER
537,541,483,1031,553,1062,(EIN),OTHER
620,625,1447,1037,1533,1065,"Wages,",OTHER
627,631,1537,1038,1583,1065,"tips,",OTHER
633,637,1588,1037,1645,1065,other,OTHER
639,650,1650,1034,1806,1064,compensation,OTHER
672,678,2002,1036,2087,1064,Federal,OTHER
680,685,2091,1034,2170,1064,income,OTHER
687,689,2174,1033,2209,1063,tax,OTHER
691,698,2214,1031,2303,1062,withheld,OTHER
709,718,219,1072,474,1104,94-8902608,einEmployerIdentificationNumber
819,824,1476,1073,1627,1105,106221,box1WagesTipsAndOtherCompensations
826,826,1637,1073,1655,1105,.,box1WagesTipsAndOtherCompensations
828,829,1661,1073,1705,1105,36,box1WagesTipsAndOtherCompensations
867,871,1976,1073,2101,1106,33630,box2FederalIncomeTaxWithheld
873,873,2110,1073,2126,1106,.,box2FederalIncomeTaxWithheld
875,876,2132,1073,2181,1107,05,box2FederalIncomeTaxWithheld
878,878,117,1122,140,1155,c,OTHER
880,889,147,1123,266,1157,Employer's,OTHER
891,895,272,1126,340,1157,"name,",OTHER
897,904,345,1125,439,1157,"address,",OTHER
906,908,445,1124,487,1157,and,OTHER
910,912,493,1123,529,1157,ZIP,OTHER
914,917,535,1120,588,1157,code,OTHER
995,1000,1451,1127,1515,1159,Social,OTHER
1002,1009,1520,1126,1603,1159,security,OTHER
1011,1015,1608,1126,1687,1160,wages,OTHER
1046,1051,2006,1127,2070,1156,Social,OTHER
1053,1060,2075,1125,2157,1156,security,OTHER
1062,1064,2161,1124,2197,1155,tax,OTHER
1066,1073,2201,1122,2297,1155,withheld,OTHER
1084,1090,219,1165,401,1205,Rosales,employerName
1092,1094,425,1165,506,1204,Ltd,employerName
1096,1098,535,1165,608,1205,Inc,employerName
1195,1201,1477,1164,1654,1202,125006.,box3SocialSecurityWages
1203,1204,1660,1163,1706,1203,36,box3SocialSecurityWages
1241,1247,1984,1167,2152,1203,9562.99,box4SocialSecurityTaxWithheld
1259,1262,219,1223,326,1265,3583,employerAddressStreet_name
1264,1270,348,1226,533,1265,Sabrina,employerAddressStreet_name
1272,1276,554,1229,671,1265,Views,employerAddressStreet_name
1365,1372,1447,1210,1547,1247,Medicare,OTHER
1374,1378,1553,1213,1623,1248,wages,OTHER
1380,1382,1629,1212,1669,1248,and,OTHER
1384,1387,1675,1210,1721,1247,tips,OTHER
1416,1423,2001,1210,2101,1247,Medicare,OTHER
