0,0,720,267,768,306,This,OTHER
0,0,826,242,930,289,Earnings,OTHER
0,0,1103,671,1144,700,was,OTHER
0,0,1061,911,1136,951,Profile.,OTHER
0,0,168,954,246,988,185890.37,OTHER
0,0,595,1601,666,1639,withheld,OTHER
0,0,268,1700,314,1730,Control,OTHER
0,0,1700,1951,1741,1983,"name,",OTHER
0,0,540,1985,566,2019,12a,OTHER
0,0,373,2239,509,2280,Andersonland,OTHER
0,0,636,2369,683,2404,Locality,OTHER
0,0,542,2484,627,2522,Statement,OTHER
238,240,1751,48,1817,91,ADP,OTHER
345,348,779,199,895,258,2018,OTHER
350,352,1366,167,1417,202,W-2,OTHER
354,356,997,169,1090,229,and,OTHER
358,365,1093,128,1349,215,EARNINGS,OTHER
367,373,1359,85,1608,174,SUMMARY,OTHER
469,470,1132,208,1155,239,is,OTHER
472,475,771,259,823,298,blue,OTHER
478,478,1679,824,1692,853,a,OTHER
481,482,1700,118,1723,151,in,OTHER
486,492,933,225,1045,271,Summary,OTHER
494,500,1047,211,1130,253,section,OTHER
502,502,538,1243,547,1264,i,OTHER
505,512,1158,192,1255,235,included,OTHER
514,517,1258,184,1309,219,with,OTHER
519,522,1311,175,1364,211,your,OTHER
524,526,895,184,994,243,W-2,OTHER
528,529,1419,162,1445,194,to,OTHER
531,534,1447,153,1504,190,help,OTHER
536,543,1506,138,1600,180,describe,OTHER
545,552,1602,122,1698,166,portions,OTHER
571,574,1652,268,1682,287,3138,OTHER
576,576,1684,267,1697,284,2,OTHER
577,577,524,1270,540,1294,i,OTHER
580,583,1725,107,1793,147,more,OTHER
585,590,1795,97,1853,136,detail,OTHER
685,687,724,295,768,330,The,OTHER
689,695,770,282,858,323,reverse,OTHER
697,700,860,275,909,309,side,OTHER
702,709,912,260,1010,301,includes,OTHER
711,717,1013,247,1100,285,general,OTHER
719,729,1103,226,1231,271,information,OTHER
731,734,1234,218,1280,250,that,OTHER
736,738,1284,211,1326,243,you,OTHER
740,742,1330,201,1381,235,may,OTHER
744,747,1385,193,1434,226,also,OTHER
749,752,1438,185,1479,218,find,OTHER
753,754,1459,293,1471,318,IA,OTHER
756,756,1473,293,1476,318,.,OTHER
757,764,1484,170,1564,210,helpful.,OTHER
771,775,1478,291,1511,318,State,OTHER
777,782,1512,284,1564,316,Income,OTHER
784,786,1564,278,1590,308,Tax,OTHER
789,796,1656,298,1712,329,28506.89,OTHER
847,850,428,319,473,346,Copy,OTHER
957,964,1300,317,1360,342,18122.15,OTHER
973,975,1465,325,1498,347,Box,OTHER
977,982,1504,318,1554,347,Income,OTHER
984,986,1556,313,1579,341,Tax,OTHER
1015,1023,264,333,361,372,Reference,OTHER
1024,1026,366,360,397,383,Tax,OTHER
1126,1131,1151,348,1197,372,Social,OTHER
1133,1140,1197,331,1255,371,Security,OTHER
1164,1166,1468,357,1499,380,Box,OTHER
1168,1169,1500,355,1515,379,19,OTHER
1171,1172,1517,353,1530,376,of,OTHER
1175,1176,1532,348,1547,374,W.,OTHER
1178,1178,1550,344,1563,369,2,OTHER
1189,1196,125,358,221,398,Employee,OTHER
1212,1214,301,368,336,393,and,OTHER
1222,1225,1256,288,1306,323,2018,OTHER
1279,1280,796,365,820,396,1.,OTHER
1282,1284,821,359,861,392,The,OTHER
1286,1294,862,344,954,385,following,OTHER
1296,1306,955,324,1076,371,information,OTHER
1431,1438,995,366,1060,395,229010.8,OTHER
1440,1447,1077,312,1154,351,reflects,OTHER
1449,1450,1167,380,1184,406,ox,OTHER
1451,1454,1755,211,1803,246,your,OTHER
1600,1600,1186,379,1194,402,4,OTHER
1602,1603,1195,376,1209,400,of,OTHER
1605,1607,1210,366,1242,396,W.2,OTHER
1608,1612,1208,296,1254,331,final,OTHER
1614,1617,431,376,505,410,2018,taxYear
1619,1621,1308,281,1349,315,pay,OTHER
1623,1626,1351,274,1397,308,stub,OTHER
1628,1631,1400,266,1447,301,plus,OTHER
1633,1635,1450,259,1488,293,any,OTHER
1637,1647,1491,239,1619,287,adjustments,OTHER
1649,1657,1622,223,1723,266,submitted,OTHER
1659,1660,1726,219,1751,250,by,OTHER
1662,1665,1156,304,1206,339,your,OTHER
1667,1675,1807,194,1916,238,employer.,OTHER
1700,1708,219,394,290,427,Statement,OTHER
1783,1787,863,390,902,421,Gross,OTHER
1789,1791,901,383,930,411,Pay,OTHER
1841,1847,1337,393,1391,426,6008.15,OTHER
1891,1893,422,417,450,444,OMB,OTHER
1895,1897,453,414,476,439,No.,OTHER
1899,1907,479,404,544,436,1545-0008,OTHER
1989,1996,1162,430,1227,458,Medicare,OTHER
1998,2000,1228,427,1250,450,Tax,OTHER
2027,2029,1482,428,1508,453,Box,OTHER
2031,2032,1512,426,1525,451,14,OTHER
2034,2035,1529,424,1541,450,of,OTHER
2037,2039,1545,419,1572,448,W.2,OTHER
2041,2043,43,438,111,473,W-2,OTHER
2086,2093,472,434,526,464,Employer,OTHER
2095,2097,530,431,553,457,use,OTHER
2099,2102,557,427,591,454,only,OTHER
2165,2172,1003,452,1064,478,24998.29,OTHER
2181,2188,1168,454,1236,480,Withheld,OTHER
2209,2212,219,483,244,514,Dept,OTHER
2214,2216,249,480,284,513,150,OTHER
2297,2300,877,482,909,506,Fed.,OTHER
2302,2307,909,471,966,503,Income,OTHER
2331,2333,1171,472,1197,495,BOX,OTHER
2335,2335,1199,471,1209,495,6,OTHER
2337,2338,1211,469,1225,494,of,OTHER
2340,2340,1227,467,1238,493,W,OTHER
2343,2343,1240,466,1242,491,-,OTHER
2345,2345,1244,463,1256,490,2,OTHER
2347,2347,51,500,68,525,d,OTHER
2349,2355,78,489,123,520,Control,OTHER
2357,2358,126,480,163,510,my,OTHER
2456,2458,884,503,907,528,Tax,OTHER
2460,2467,909,490,968,523,Withheld,OTHER
2469,2475,53,517,116,545,8780948,OTHER
2578,2580,886,522,912,548,Box,OTHER
2582,2582,916,521,922,544,2,OTHER
2584,2585,926,518,938,542,of,OTHER
2587,2588,942,515,955,540,W.,OTHER
2590,2590,959,512,970,538,2,OTHER
2592,2602,58,540,157,573,.Employer's,OTHER
2604,2607,161,536,193,565,name,OTHER
2609,2609,197,535,201,561,",",OTHER
2611,2618,205,527,258,560,"address,",OTHER
2620,2622,262,522,284,552,and,OTHER
2624,2626,288,518,309,548,ZIP,OTHER
2628,2631,313,511,349,544,code,OTHER
2640,2646,105,561,186,598,Beasley,employerName
2648,2650,237,548,274,579,LLC,employerName
2652,2654,193,554,232,585,LLC,employerName
2844,2849,1635,585,1680,611,Denise,OTHER
2851,2854,1682,578,1717,609,Neck,OTHER
2863,2865,111,591,149,618,009,employerAddressStreet_name
2867,2873,155,581,236,615,collins,employerAddressStreet_name
2875,2878,240,574,290,607,Ways,employerAddressStreet_name
2880,2884,295,564,354,600,Suite,employerAddressStreet_name
2886,2888,361,558,389,588,050,employerAddressStreet_name
3048,3054,1514,602,1559,634,A.State,OTHER
3056,3061,1562,588,1623,626,"Wages,",OTHER
3063,3067,1640,602,1673,630,Local,OTHER
3069,3073,1677,601,1718,627,Wages,OTHER
3075,3075,1722,601,1724,625,.,OTHER
3086,3095,115,610,227,650,Parkshaven,employerAddressCity
3097,3098,234,604,261,633,Co,employerAddressState
3100,3109,279,583,393,626,52069-5665,employerAddressZip
3242,3247,1304,634,1346,665,Social,OTHER
3249,3252,1349,629,1380,659,Secu,OTHER
3254,3259,1383,619,1432,653,Medica,OTHER
3270,3272,1515,638,1542,667,BOX,OTHER
3274,3275,1545,636,1560,663,16,OTHER
3277,3278,1563,635,1575,662,of,OTHER
3280,3281,1578,634,1592,661,W.,OTHER
3283,3283,1597,633,1614,661,2,OTHER
3285,3287,1644,637,1672,664,BOX,OTHER
3289,3290,1676,636,1689,663,18,OTHER
3292,3293,1693,635,1703,663,of,OTHER
3295,3296,1708,633,1734,661,W2,OTHER
3347,3352,473,640,553,671,#02021,OTHER
3408,3409,842,653,863,685,2.,OTHER
3411,3414,866,645,917,681,Your,OTHER
3416,3420,920,635,982,673,Gross,OTHER
3422,3424,985,629,1025,663,Pay,OTHER
3427,3428,1165,603,1190,635,as,OTHER
3430,3437,1072,607,1162,649,adjusted,OTHER
3475,3479,329,665,394,695,Batch,OTHER
3583,3585,1028,622,1070,656,was,OTHER
3587,3587,360,861,384,894,a,OTHER
3591,3593,1195,655,1214,685,the,OTHER
3594,3600,1193,591,1267,630,follows,OTHER
3602,3603,1269,587,1291,618,to,OTHER
3605,3611,1293,573,1380,614,produce,OTHER
3780,3784,1308,653,1362,686,Wages,OTHER
3786,3789,1382,565,1432,600,your,OTHER
3791,3793,1434,557,1478,591,W-2,OTHER
3795,3804,1481,539,1591,584,Statement.,OTHER
3972,3974,1310,677,1334,707,Box,OTHER
3976,3976,1339,675,1346,703,3,OTHER
3978,3979,1432,661,1441,691,of,OTHER
3981,3986,1365,665,1415,700,W.2Box,OTHER
3988,3988,1420,663,1427,693,5,OTHER
3990,3991,1351,673,1360,702,of,OTHER
3993,3993,1446,658,1454,689,W,OTHER
3995,3996,1459,655,1478,686,.2,OTHER
4192,4199,1530,691,1589,726,229010.8,OTHER
4213,4214,1655,711,1684,733,NA,OTHER
4383,4388,1317,725,1374,759,229011,OTHER
4396,4402,1404,713,1454,747,229010.,OTHER
4432,4436,1660,731,1697,760,24998,OTHER
4438,4439,1700,729,1724,757,20,OTHER
4445,4447,88,744,114,774,elf,OTHER
4449,4457,118,735,187,770,Employees,OTHER
4459,4462,190,729,223,760,name,OTHER
4464,4464,226,728,232,755,",",OTHER
4466,4472,235,719,284,753,address,OTHER
4474,4476,288,714,311,745,and,OTHER
