39,39,503,197,525,228,a,OTHER
41,50,537,197,673,231,Employee's,OTHER
52,57,678,196,746,231,social,OTHER
59,66,751,196,845,232,security,OTHER
68,73,850,196,938,231,number,OTHER
127,131,1586,193,1653,228,"Safe,",OTHER
133,141,1659,196,1796,233,Accurate.,OTHER
160,164,2090,194,2148,228,Visit,OTHER
166,168,2153,195,2196,229,the,OTHER
170,172,2201,195,2252,230,IRS,OTHER
174,180,2258,193,2365,232,Website,OTHER
237,247,698,236,982,276,714-27-1345,ssnOfEmployee
328,330,1832,219,1944,263,Rev,OTHER
332,335,1954,220,2045,263,file,OTHER
439,441,1273,241,1326,272,OMB,OTHER
443,445,1331,242,1372,273,No.,OTHER
447,455,1378,241,1492,274,1545-0008,OTHER
464,468,1589,242,1676,276,FAST!,OTHER
470,471,1682,242,1722,278,Us,OTHER
496,497,2093,239,2115,275,at,OTHER
499,515,2122,240,2339,279,www.irs.gov/efile,OTHER
518,518,114,288,139,322,b,OTHER
520,527,147,288,249,322,Employer,OTHER
529,542,253,289,389,321,identification,OTHER
544,549,394,289,477,320,number,OTHER
551,555,483,289,545,319,(EIN),OTHER
631,636,1448,290,1530,322,"Wages,",OTHER
638,642,1536,293,1582,322,"tips,",OTHER
644,648,1587,294,1643,322,other,OTHER
650,661,1647,287,1806,322,compensation,OTHER
667,667,1944,284,1971,321,2,OTHER
669,675,2002,289,2085,322,Federal,OTHER
677,682,2090,290,2169,322,income,OTHER
684,686,2174,290,2209,321,tax,OTHER
688,695,2214,288,2295,319,withheld,OTHER
707,716,219,329,480,370,88-7582496,einEmployerIdentificationNumber
815,820,1477,329,1631,365,104101,box1WagesTipsAndOtherCompensations
822,824,1637,327,1707,365,.55,box1WagesTipsAndOtherCompensations
848,852,1975,329,2102,367,18768,box2FederalIncomeTaxWithheld
854,854,2108,329,2126,368,.,box2FederalIncomeTaxWithheld
856,857,2132,329,2178,369,19,box2FederalIncomeTaxWithheld
861,861,118,380,141,414,c,OTHER
863,872,147,380,265,414,Employer's,OTHER
874,878,271,381,341,415,"name,",OTHER
880,887,347,380,442,415,"address,",OTHER
889,891,446,380,486,415,and,OTHER
893,895,490,379,531,416,ZIP,OTHER
897,900,534,378,593,416,code,OTHER
976,981,1449,382,1515,412,Social,OTHER
983,990,1519,381,1603,413,security,OTHER
992,996,1609,380,1677,414,wages,OTHER
1027,1032,2006,386,2071,412,Social,OTHER
1034,1041,2075,384,2158,412,security,OTHER
1043,1045,2163,383,2198,412,tax,OTHER
1047,1054,2202,379,2288,411,withheld,OTHER
1067,1072,219,427,383,470,"Lyons,",employerName
1074,1080,399,427,585,468,Gilmore,employerName
1082,1084,606,427,693,467,and,employerName
1086,1094,706,424,950,466,Maldonado,employerName
1096,1098,971,423,1055,465,Ltd,employerName
1175,1179,1475,427,1605,464,90665,box3SocialSecurityWages
1181,1181,1610,428,1627,466,.,box3SocialSecurityWages
1183,1184,1632,429,1680,472,12,box3SocialSecurityWages
1223,1226,1977,426,2077,460,6935,box4SocialSecurityTaxWithheld
1228,1228,2085,428,2100,460,.,box4SocialSecurityTaxWithheld
1230,1231,2106,429,2155,463,88,box4SocialSecurityTaxWithheld
1243,1247,222,486,348,525,46093,employerAddressStreet_name
1249,1253,376,485,503,525,Tammy,employerAddressStreet_name
1255,1261,530,484,713,526,Springs,employerAddressStreet_name
1263,1267,738,483,867,526,Suite,employerAddressStreet_name
1269,1271,897,483,971,526,761,employerAddressStreet_name
1351,1358,1452,470,1547,504,Medicare,OTHER
1360,1364,1552,473,1624,505,wages,OTHER
1366,1368,1630,473,1669,505,and,OTHER
1370,1373,1675,472,1714,504,tips,OTHER
1398,1398,1944,472,1969,506,6,OTHER
1400,1407,2002,472,2102,502,Medicare,OTHER
1409,1411,2107,473,2141,502,tax,OTHER
1413,1420,2146,472,2238,502,withheld,OTHER
1542,1547,1476,512,1628,551,112840,OTHER
1549,1549,1636,511,1652,548,.,OTHER
1551,1552,1658,512,1708,549,09,OTHER
1599,1603,2101,514,2222,553,3272.,OTHER
1605,1606,2228,511,2278,549,36,OTHER
1618,1627,226,546,476,584,Jamesmouth,employerAddressCity
1629,1630,526,543,582,585,WA,employerAddressState
1662,1671,713,538,976,585,87167-1594,employerAddressZip
1790,1795,1450,558,1515,595,Social,OTHER
1797,1804,1521,559,1600,596,security,OTHER
1806,1809,1607,559,1659,596,tips,OTHER
1838,1838,1944,556,1964,585,8,OTHER
1839,1847,2002,557,2103,591,Allocated,OTHER
1849,1852,2109,557,2155,592,tips,OTHER
1974,1978,1474,606,1600,643,90665,OTHER
1980,1980,1610,609,1628,645,.,OTHER
1982,1983,1633,609,1676,647,12,OTHER
2031,2036,2098,607,2252,642,112840,OTHER
2038,2038,2258,607,2276,641,.,OTHER
2040,2041,2280,606,2331,641,09,OTHER
2044,2044,121,649,141,679,d,OTHER
2046,2052,149,648,227,680,Control,OTHER
2054,2059,232,647,310,680,number,OTHER
2207,2208,1935,650,1957,669,10,OTHER
2210,2218,2002,649,2124,679,Dependent,OTHER
2220,2223,2129,648,2177,678,care,OTHER
2225,2232,2182,648,2263,677,benefits,OTHER
2412,2414,2099,695,2166,730,255,OTHER
2417,2417,118,748,134,771,e,OTHER
2419,2428,149,747,273,771,Employee's,OTHER
2430,2434,277,746,318,770,first,OTHER
2436,2439,322,746,385,770,name,OTHER
2441,2443,390,745,431,770,and,OTHER
2445,2451,434,744,491,769,initial,OTHER
2463,2466,625,744,675,768,Last,OTHER
2468,2471,678,742,741,768,name,OTHER
2519,2523,1300,740,1359,769,Suff.,OTHER
2525,2526,1380,740,1412,768,11,OTHER
2528,2539,1448,744,1583,772,Nonqualified,OTHER
2541,2545,1588,745,1650,772,plans,OTHER
2580,2582,1936,744,1971,770,12a,OTHER
2584,2586,2007,746,2051,771,See,OTHER
2588,2599,2055,743,2195,770,instructions,OTHER
2601,2603,2200,742,2233,769,for,OTHER
2605,2607,2238,740,2285,769,box,OTHER
2609,2610,2289,739,2318,769,12,OTHER
2731,2733,1476,804,1549,834,235,OTHER
2793,2796,2101,795,2196,836,7349,OTHER
2808,2812,218,830,360,873,Kathy,employeeName
2837,2843,507,831,708,869,Allison,employeeName
2955,2956,1379,848,1410,875,13,OTHER
2958,2966,1414,849,1502,875,Statutory,OTHER
2968,2977,1581,850,1672,876,Retirement,OTHER
2991,2998,1767,854,1834,873,ird-part,OTHER
3113,3120,1414,879,1497,906,employee,OTHER
3124,3127,1580,883,1620,906,plan,OTHER
3145,3148,1749,881,1781,909,sick,OTHER
3150,3152,1785,879,1828,907,pay,OTHER
3164,3168,219,909,363,949,84669,OTHER
3170,3174,389,910,535,950,White,OTHER
3176,3182,567,912,771,951,Estates,OTHER
3277,3277,1595,915,1619,949,X,OTHER
3325,3325,2016,917,2036,945,C,OTHER
3331,3333,2097,912,2163,950,202,OTHER
3345,3349,221,975,364,1019,South,OTHER
3351,3357,398,975,601,1021,Jessica,OTHER
3359,3360,652,973,712,1018,GA,OTHER
3362,3371,744,974,1036,1020,78392-7156,OTHER
3445,3446,1378,961,1410,991,14,OTHER
3448,3452,1450,962,1508,992,Other,OTHER
3499,3500,1935,960,1964,991,12,OTHER
3674,3674,2023,1025,2045,1054,J,OTHER
3676,3678,2100,1026,2164,1059,715,OTHER
3852,3853,2000,1133,2053,1173,EE,OTHER
3855,3857,2097,1132,2169,1173,850,OTHER
3859,3859,115,1190,138,1224,1,OTHER
3861,3870,148,1189,272,1223,Employee's,OTHER
3872,3878,278,1189,365,1221,address,OTHER
3880,3882,371,1189,412,1219,and,OTHER
