35,35,505,198,525,228,a,OTHER
37,46,537,196,674,231,Employee's,OTHER
48,53,678,196,747,231,social,OTHER
55,62,751,196,846,231,security,OTHER
64,69,851,197,934,231,number,OTHER
131,135,1586,193,1653,228,"Safe,",OTHER
137,145,1659,196,1795,233,Accurate.,OTHER
165,169,2090,194,2147,228,Visit,OTHER
171,173,2153,195,2197,229,the,OTHER
175,177,2203,195,2254,230,IRS,OTHER
179,185,2259,193,2366,232,Website,OTHER
338,340,1833,218,1946,263,Rev,OTHER
342,345,1957,220,2047,263,file,OTHER
398,408,699,236,975,277,463-71-9369,ssnOfEmployee
453,455,1273,242,1325,272,OMB,OTHER
457,459,1330,242,1372,273,No.,OTHER
461,469,1378,241,1492,274,1545-0008,OTHER
477,481,1581,241,1678,275,FAST!,OTHER
483,484,1683,242,1723,278,Us,OTHER
511,512,2094,239,2115,275,at,OTHER
514,530,2122,240,2340,279,www.irs.gov/efile,OTHER
533,533,114,288,140,322,b,OTHER
535,542,146,288,248,322,Employer,OTHER
544,557,252,289,389,321,identification,OTHER
559,564,394,289,476,319,number,OTHER
566,570,482,289,544,317,(EIN),OTHER
651,656,1448,289,1532,321,"Wages,",OTHER
658,662,1537,292,1583,322,"tips,",OTHER
664,668,1588,292,1645,322,other,OTHER
670,681,1650,287,1807,321,compensation,OTHER
687,687,1944,284,1971,321,2,OTHER
689,695,2003,290,2085,321,Federal,OTHER
697,702,2090,290,2171,321,income,OTHER
704,706,2175,289,2208,320,tax,OTHER
708,715,2213,287,2302,319,withheld,OTHER
727,736,219,330,478,368,86-4819516,einEmployerIdentificationNumber
839,844,1481,329,1628,366,12836.,box1WagesTipsAndOtherCompensations
846,847,1635,328,1678,366,79,box1WagesTipsAndOtherCompensations
873,877,1975,328,2102,364,15793,box2FederalIncomeTaxWithheld
879,879,2109,328,2126,365,.,box2FederalIncomeTaxWithheld
881,882,2133,329,2183,367,69,box2FederalIncomeTaxWithheld
885,885,118,380,142,414,c,OTHER
887,896,147,380,264,414,Employer's,OTHER
898,902,270,381,340,414,"name,",OTHER
904,911,346,381,438,414,"address,",OTHER
913,915,445,381,485,414,and,OTHER
917,919,492,381,530,414,ZIP,OTHER
921,924,536,381,597,413,code,OTHER
1004,1009,1450,383,1515,414,Social,OTHER
1011,1018,1520,383,1602,414,security,OTHER
1020,1024,1607,382,1674,413,wages,OTHER
1058,1063,2004,382,2070,412,Social,OTHER
1065,1072,2076,384,2157,412,security,OTHER
1074,1076,2162,383,2195,411,tax,OTHER
1078,1085,2201,378,2288,410,withheld,OTHER
1097,1102,221,427,382,469,"Irwin,",employerName
1104,1109,400,426,559,466,Taylor,employerName
1111,1113,582,426,664,465,and,employerName
1115,1119,684,425,821,466,Perez,employerName
1121,1123,841,425,923,467,Ltd,employerName
1210,1214,1478,425,1605,465,37221,box3SocialSecurityWages
1216,1216,1611,429,1627,467,.,box3SocialSecurityWages
1218,1219,1633,430,1676,471,41,box3SocialSecurityWages
1260,1263,1979,426,2078,462,2847,box4SocialSecurityTaxWithheld
1265,1265,2084,428,2102,462,.,box4SocialSecurityTaxWithheld
1267,1268,2109,428,2156,465,44,box4SocialSecurityTaxWithheld
1280,1284,220,485,347,524,38462,employerAddressStreet_name
1286,1291,372,486,532,522,Ariana,employerAddressStreet_name
1293,1298,558,485,715,522,Plains,employerAddressStreet_name
1390,1397,1447,471,1547,504,Medicare,OTHER
1399,1403,1554,472,1624,504,wages,OTHER
1405,1407,1630,472,1671,502,and,OTHER
1409,1412,1677,471,1720,501,tips,OTHER
1441,1441,1942,472,1969,505,6,OTHER
1443,1450,2002,473,2102,502,Medicare,OTHER
1452,1454,2108,473,2142,502,tax,OTHER
1456,1463,2147,473,2236,505,withheld,OTHER
1587,1591,1476,512,1603,548,46786,OTHER
1593,1593,1608,512,1625,548,.,OTHER
1595,1596,1631,511,1682,548,09,OTHER
1649,1653,2099,516,2223,550,1356.,OTHER
1655,1655,2228,515,2243,548,8,OTHER
1666,1675,214,546,475,585,Myersburgh,employerAddressCity
1677,1678,526,544,577,585,NM,employerAddressState
1711,1720,713,540,976,587,04573-7717,employerAddressZip
1842,1847,1451,557,1513,595,Social,OTHER
1849,1856,1520,559,1601,595,security,OTHER
1858,1861,1608,558,1660,595,tips,OTHER
1893,1893,1945,555,1966,585,8,OTHER
1894,1902,2002,557,2101,591,Allocated,OTHER
1904,1907,2107,558,2155,589,tips,OTHER
2032,2036,1477,606,1603,643,37221,OTHER
