0,0,551,177,609,196,withheld,OTHER
26,31,226,32,276,52,"Wages,",OTHER
33,37,276,38,306,56,"tips,",OTHER
39,43,307,42,343,60,other,OTHER
45,49,343,47,384,65,comp.,OTHER
83,90,259,54,322,74,87607.33,box1WagesTipsAndOtherCompensations
116,116,450,58,462,73,2,OTHER
118,124,476,62,528,82,Federal,OTHER
126,131,529,69,579,89,income,OTHER
133,135,579,75,602,92,tax,OTHER
137,144,604,78,660,98,withheld,OTHER
167,167,191,79,200,90,3,OTHER
169,174,222,83,263,102,Social,OTHER
176,183,264,89,315,109,security,OTHER
185,189,317,97,360,114,wages,OTHER
234,238,576,93,616,109,14534,box2FederalIncomeTaxWithheld
240,240,617,97,624,110,.,box2FederalIncomeTaxWithheld
242,243,624,98,641,113,75,box2FederalIncomeTaxWithheld
276,283,253,105,313,125,72773.59,box3SocialSecurityWages
309,309,444,109,455,123,4,OTHER
311,316,472,114,513,133,Social,OTHER
318,325,514,119,566,139,security,OTHER
327,329,567,126,590,142,tax,OTHER
331,338,591,129,646,149,withheld,OTHER
360,360,184,129,195,142,5,OTHER
362,369,214,134,275,156,Medicare,OTHER
371,375,276,143,321,162,wages,OTHER
377,379,322,150,348,165,and,OTHER
381,384,349,153,374,168,tips,OTHER
427,430,570,145,602,160,5567,box4SocialSecurityTaxWithheld
433,433,603,148,609,161,.,OTHER
435,436,610,149,626,163,18,box4SocialSecurityTaxWithheld
468,472,246,156,286,173,68801,OTHER
474,474,286,162,293,174,.,OTHER
476,477,293,163,309,177,95,OTHER
501,501,438,161,448,173,6,OTHER
503,510,463,165,525,186,Medicare,OTHER
512,514,526,173,550,189,tax,OTHER
516,519,174,1075,201,1095,with,OTHER
523,523,180,181,191,196,d,OTHER
546,552,205,186,252,205,Control,OTHER
554,559,254,193,304,212,number,OTHER
611,617,563,196,618,215,1995.26,OTHER
637,643,175,200,233,220,6792537,OTHER
669,673,367,204,398,223,Dept.,OTHER
675,678,432,212,457,231,Corp,OTHER
698,698,171,233,182,248,C,OTHER
700,709,201,238,272,261,Employer's,OTHER
711,715,274,247,317,267,"name,",OTHER
717,724,318,252,373,273,"address,",OTHER
726,728,374,259,400,276,and,OTHER
729,731,387,225,407,240,150,OTHER
732,734,401,263,425,279,ZIP,OTHER
736,739,426,265,459,283,code,OTHER
774,781,606,235,663,257,Employer,OTHER
783,785,664,243,688,260,use,OTHER
787,790,689,247,713,262,only,OTHER
819,832,232,262,388,299,Hawkins-Bailey,employerName
834,836,396,282,432,305,PLC,employerName
898,899,681,262,695,275,36,OTHER
928,931,230,287,278,311,1722,employerAddressStreet_name
933,939,284,294,365,321,Fuentes,employerAddressStreet_name
941,946,371,305,437,331,Estate,employerAddressStreet_name
974,982,226,313,327,342,Burkeview,employerAddressCity
1032,1033,367,331,392,350,NM,employerAddressState
1035,1044,424,337,535,368,27806-7832,employerAddressZip
1060,1060,153,389,162,403,b,OTHER
1062,1071,183,394,254,417,Employer's,OTHER
1073,1075,255,402,283,420,FED,OTHER
1077,1078,284,406,300,422,ID,OTHER
1080,1085,301,408,352,428,number,OTHER
1104,1108,410,381,471,406,Batch,OTHER
1126,1131,533,395,605,423,#02021,OTHER
1157,1166,214,416,295,438,22-0503147,einEmployerIdentificationNumber
1194,1203,433,423,509,448,Employee's,OTHER
1205,1207,511,433,538,452,SSA,OTHER
1209,1214,539,437,594,458,number,OTHER
1229,1229,147,441,155,454,7,OTHER
1231,1236,177,445,219,464,Social,OTHER
1238,1245,220,451,271,471,security,OTHER
1247,1250,272,458,297,475,tips,OTHER
1275,1280,208,467,254,485,72773.,OTHER
1282,1283,255,472,273,487,59,OTHER
1307,1307,399,472,411,487,8,OTHER
1309,1317,426,476,489,498,Allocated,OTHER
1319,1322,490,485,516,501,tips,OTHER
1341,1352,169,497,245,520,Verification,OTHER
1354,1357,246,507,280,524,Code,OTHER
1403,1407,525,506,565,523,68801,OTHER
1409,1409,566,511,572,524,.,OTHER
1411,1412,573,512,591,527,95,OTHER
1471,1479,422,528,495,550,Dependent,OTHER
1481,1484,495,538,526,554,care,OTHER
1486,1493,527,542,580,560,benefits,OTHER
1506,1507,134,542,151,558,11,OTHER
1509,1520,165,549,249,573,Nonqualified,OTHER
1522,1526,250,560,285,577,plans,OTHER
1573,1575,520,559,543,572,163,OTHER
1631,1633,389,575,413,592,12a,OTHER
1635,1637,417,579,443,596,See,OTHER
1639,1650,444,583,519,606,instructions,OTHER
1652,1654,521,592,540,608,for,OTHER
1656,1658,541,595,569,612,box,OTHER
1660,1661,570,598,585,614,12,OTHER
1673,1674,128,596,143,611,14,OTHER
1676,1680,164,603,200,618,Other,OTHER
1735,1737,381,628,403,645,12b,OTHER
1758,1761,511,628,544,643,6696,OTHER
1815,1817,379,646,399,661,12c,OTHER
1836,1836,496,644,506,658,1,OTHER
1838,1840,508,645,530,660,823,OTHER
1894,1896,378,663,398,679,12d,OTHER
