39,39,504,937,527,970,a,OTHER
41,50,538,938,672,973,Employee's,OTHER
52,57,677,940,745,973,social,OTHER
59,66,750,941,843,973,security,OTHER
68,73,849,941,946,973,number,OTHER
128,132,1583,938,1655,972,"Safe,",OTHER
134,142,1661,939,1806,976,Accurate.,OTHER
156,160,2092,934,2148,971,Visit,OTHER
162,164,2153,937,2197,973,the,OTHER
166,168,2202,938,2253,974,IRS,OTHER
170,176,2259,938,2371,974,Website,OTHER
233,243,698,979,980,1016,301-51-4482,ssnOfEmployee
322,323,1833,962,1893,1005,Re,OTHER
325,325,1907,961,1938,1005,~,OTHER
327,330,1954,959,2045,1005,file,OTHER
432,434,1272,980,1325,1015,OMB,OTHER
436,438,1331,980,1370,1016,No.,OTHER
440,448,1375,979,1491,1016,1545-0008,OTHER
460,464,1583,982,1676,1018,FAST!,OTHER
466,467,1681,983,1725,1023,US,OTHER
486,487,2092,983,2117,1020,at,OTHER
489,506,2122,984,2351,1022,www.irs.gov/efile.,OTHER
508,508,115,1032,138,1065,b,OTHER
510,517,148,1032,248,1065,Employer,OTHER
519,532,254,1034,388,1065,identification,OTHER
534,539,395,1033,477,1064,number,OTHER
541,545,483,1031,553,1063,(EIN),OTHER
624,629,1447,1036,1532,1065,"Wages,",OTHER
631,635,1536,1037,1583,1065,"tips,",OTHER
637,641,1587,1037,1645,1064,other,OTHER
643,654,1650,1035,1806,1064,compensation,OTHER
676,682,2002,1036,2085,1065,Federal,OTHER
684,689,2090,1035,2171,1065,income,OTHER
691,693,2176,1034,2211,1063,tax,OTHER
695,702,2215,1032,2303,1062,withheld,OTHER
713,722,220,1071,457,1108,56-145355:,einEmployerIdentificationNumber
822,826,1476,1072,1603,1106,60041,box1WagesTipsAndOtherCompensations
828,828,1610,1072,1627,1106,.,box1WagesTipsAndOtherCompensations
830,830,1632,1072,1653,1106,2,OTHER
870,873,1975,1073,2075,1106,8052,box2FederalIncomeTaxWithheld
875,875,2084,1072,2098,1106,.,box2FederalIncomeTaxWithheld
877,878,2105,1069,2155,1105,07,box2FederalIncomeTaxWithheld
881,881,118,1122,141,1156,c,OTHER
883,892,147,1123,266,1158,Employer's,OTHER
894,898,272,1125,340,1158,"name,",OTHER
900,907,346,1125,439,1158,"address,",OTHER
909,911,445,1124,487,1157,and,OTHER
913,915,493,1124,529,1157,ZIP,OTHER
917,920,534,1123,592,1156,code,OTHER
996,1001,1450,1127,1516,1159,Social,OTHER
1003,1010,1521,1126,1602,1159,security,OTHER
1012,1016,1607,1126,1679,1159,wages,OTHER
1048,1053,2006,1127,2071,1155,Social,OTHER
1055,1062,2076,1126,2159,1155,security,OTHER
1064,1066,2163,1125,2198,1155,tax,OTHER
1068,1075,2201,1123,2286,1154,withheld,OTHER
1087,1094,220,1165,432,1206,"Elliott,",employerName
1096,1099,449,1164,560,1205,West,employerName
1101,1103,583,1164,663,1206,and,employerName
1105,1111,685,1164,868,1208,Gilmore,employerName
1113,1117,893,1164,1023,1211,Group,employerName
1195,1199,1476,1168,1603,1205,44181,box3SocialSecurityWages
1201,1201,1611,1168,1627,1207,.,box3SocialSecurityWages
1203,1203,1633,1168,1653,1209,0,box3SocialSecurityWages
