39,39,504,937,528,970,a,OTHER
41,50,537,938,671,973,Employee's,OTHER
52,57,675,941,747,974,social,OTHER
59,66,751,939,845,974,security,OTHER
68,73,849,937,942,973,number,OTHER
128,132,1584,940,1655,972,"Safe,",OTHER
134,142,1660,940,1802,976,Accurate.,OTHER
156,160,2092,934,2147,971,Visit,OTHER
162,164,2153,937,2197,973,the,OTHER
166,168,2202,938,2253,974,IRS,OTHER
170,176,2259,937,2371,974,Website,OTHER
322,324,1833,961,1894,1006,RSe,OTHER
326,326,1908,961,1937,1006,~,OTHER
328,331,1954,959,2047,1006,file,OTHER
388,397,723,978,975,1018,19-65-7862,ssnOfEmployee
434,436,1272,980,1325,1016,OMB,OTHER
438,440,1331,980,1370,1016,No.,OTHER
442,450,1376,979,1492,1016,1545-0008,OTHER
461,465,1582,982,1677,1017,FAST!,OTHER
467,468,1682,983,1725,1023,US,OTHER
488,489,2093,985,2116,1019,at,OTHER
491,508,2121,984,2350,1023,www.irs.gov/efile.,OTHER
510,510,116,1032,138,1065,b,OTHER
512,519,148,1033,247,1065,Employer,OTHER
521,534,253,1035,389,1065,identification,OTHER
536,541,395,1033,476,1063,number,OTHER
543,547,482,1031,554,1062,(EIN),OTHER
627,632,1447,1038,1532,1065,"Wages,",OTHER
634,638,1536,1038,1584,1065,"tips,",OTHER
640,644,1588,1038,1646,1065,other,OTHER
646,657,1651,1035,1806,1064,compensation,OTHER
677,683,2002,1036,2086,1064,Federal,OTHER
685,690,2090,1034,2171,1064,income,OTHER
692,694,2175,1033,2210,1063,tax,OTHER
696,703,2215,1030,2303,1062,withheld,OTHER
713,722,218,1073,469,1105,86-3932650,einEmployerIdentificationNumber
826,830,1503,1071,1625,1108,21215,box1WagesTipsAndOtherCompensations
832,832,1636,1073,1653,1108,.,OTHER
834,835,1659,1073,1697,1108,41,box1WagesTipsAndOtherCompensations
871,875,1978,1070,2102,1106,44688,box2FederalIncomeTaxWithheld
877,877,2109,1070,2126,1106,.,box2FederalIncomeTaxWithheld
879,880,2133,1068,2176,1105,45,box2FederalIncomeTaxWithheld
882,882,118,1123,140,1155,c,OTHER
884,893,147,1123,266,1157,Employer's,OTHER
895,899,271,1125,339,1158,"name,",OTHER
901,908,345,1125,440,1158,"address,",OTHER
910,912,446,1124,487,1158,and,OTHER
914,916,493,1123,529,1157,ZIP,OTHER
918,921,535,1121,596,1157,code,OTHER
999,1004,1452,1125,1515,1158,Social,OTHER
1006,1013,1521,1125,1603,1158,security,OTHER
1015,1019,1608,1125,1686,1160,wages,OTHER
1050,1055,2006,1127,2070,1156,Social,OTHER
1057,1064,2076,1125,2157,1156,security,OTHER
1066,1068,2162,1124,2197,1156,tax,OTHER
1070,1077,2201,1122,2296,1155,withheld,OTHER
1089,1093,224,1164,350,1204,Short,employerName
1095,1097,373,1163,450,1206,LLC,employerName
1099,1101,482,1164,556,1208,Inc,employerName
1198,1204,1474,1166,1655,1204,267860.,box3SocialSecurityWages
1206,1207,1662,1166,1709,1209,38,box3SocialSecurityWages
1245,1249,1976,1167,2103,1201,20491,box4SocialSecurityTaxWithheld
1251,1251,2110,1167,2129,1202,.,box4SocialSecurityTaxWithheld
1253,1254,2135,1168,2180,1204,32,box4SocialSecurityTaxWithheld
1266,1270,220,1224,352,1266,31950,employerAddressStreet_name
1272,1278,372,1225,560,1266,Phyllis,employerAddressStreet_name
1280,1284,580,1226,717,1266,Coves,employerAddressStreet_name
1286,1290,737,1225,872,1266,Suite,employerAddressStreet_name
1292,1294,895,1224,974,1267,043,employerAddressStreet_name
1373,1380,1446,1209,1547,1248,Medicare,OTHER
1382,1386,1554,1213,1624,1249,wages,OTHER
1388,1390,1630,1213,1671,1249,and,OTHER
1392,1395,1677,1211,1718,1248,tips,OTHER
1423,1430,2001,1210,2101,1245,Medicare,OTHER
1432,1434,2107,1210,2141,1246,tax,OTHER
1436,1443,2147,1211,2235,1249,withheld,OTHER
1565,1571,1477,1253,1653,1295,181717.,OTHER
1573,1574,1659,1255,1710,1295,94,OTHER
1623,1627,2103,1253,2222,1293,6269.,OTHER
1629,1630,2228,1256,2277,1293,82,OTHER
1641,1652,214,1284,528,1325,Williamsview,employerAddressCity
1678,1679,605,1287,655,1318,DE,employerAddressState
1692,1701,764,1280,1020,1322,25375-9087,employerAddressZip
1820,1825,1451,1301,1514,1335,Social,OTHER
1827,1834,1520,1300,1602,1335,security,OTHER
1836,1839,1608,1299,1651,1335,tips,OTHER
1871,1879,2003,1297,2103,1333,Allocated,OTHER
1881,1884,2109,1297,2155,1332,tips,OTHER
2005,2010,1476,1344,1630,1383,267860,OTHER
2012,2012,1637,1345,1652,1384,.,OTHER
2014,2015,1659,1345,1711,1384,38,OTHER
2062,2067,2097,1345,2250,1384,181717,OTHER
2069,2069,2256,1346,2274,1384,.,OTHER
2071,2072,2280,1346,2325,1384,94,OTHER
2075,2075,121,1393,141,1422,d,OTHER
2077,2083,148,1394,225,1424,Control,OTHER
2085,2090,230,1395,321,1424,number,OTHER
2191,2202,1451,1394,1569,1425,Verification,OTHER
2204,2207,1574,1391,1638,1423,Code,OTHER
2236,2237,1934,1394,1959,1418,10,OTHER
2239,2247,2004,1395,2125,1423,Dependent,OTHER
2249,2252,2128,1394,2178,1423,care,OTHER
2254,2261,2181,1393,2262,1423,benefits,OTHER
2440,2442,2098,1440,2166,1472,142,OTHER
2445,2445,119,1486,138,1514,e,OTHER
2447,2456,149,1487,272,1514,Employee's,OTHER
2458,2462,276,1486,317,1513,first,OTHER
2464,2467,321,1485,385,1512,name,OTHER
2469,2471,389,1484,432,1511,and,OTHER
2473,2479,435,1483,487,1510,initial,OTHER
2492,2495,625,1486,674,1510,Last,OTHER
2497,2500,677,1484,743,1510,name,OTHER
2547,2551,1299,1478,1363,1512,Suff.,OTHER
2553,2554,1380,1477,1413,1511,11,OTHER
2556,2567,1449,1483,1582,1513,Nonqualified,OTHER
2569,2573,1587,1483,1655,1513,plans,OTHER
2606,2608,1935,1483,1973,1512,12a,OTHER
2610,2612,2007,1485,2050,1512,See,OTHER
2614,2625,2055,1484,2196,1512,instructions,OTHER
2627,2629,2200,1484,2234,1512,for,OTHER
2631,2633,2238,1484,2286,1512,box,OTHER
2635,2636,2289,1483,2310,1511,12,OTHER
2760,2762,1478,1544,1548,1574,190,OTHER
2817,2820,2098,1541,2198,1576,3880,OTHER
2831,2837,226,1575,418,1610,Jessica,employeeName
2863,2869,534,1570,725,1611,Morales,employeeName
2984,2986,1936,1580,1974,1621,12b,OTHER
3100,3101,1377,1590,1409,1620,13,OTHER
3103,3111,1415,1589,1503,1619,Statutory,OTHER
3114,3123,1581,1594,1682,1622,Retirement,OTHER
3131,3141,1752,1592,1843,1619,Third-party,OTHER
3258,3264,1413,1616,1488,1641,employe,OTHER
3286,3288,1754,1619,1781,1645,ick,OTHER
3290,3292,1785,1621,1821,1647,pay,OTHER
3303,3307,219,1655,365,1695,54104,OTHER
3309,3313,389,1656,538,1696,Weber,OTHER
3315,3318,565,1654,680,1697,Cape,OTHER
3320,3323,711,1652,834,1697,Apt.,OTHER
3325,3327,863,1649,941,1696,744,OTHER
3409,3409,1427,1655,1456,1698,X,OTHER
3420,3420,1596,1655,1619,1689,X,OTHER
3437,3437,1762,1654,1788,1691,X,OTHER
3464,3464,2019,1659,2035,1681,V,OTHER
3469,3471,2099,1658,2169,1688,206,OTHER
3482,3485,217,1715,338,1762,Port,OTHER
3487,3496,370,1719,654,1762,Jasonmouth,OTHER
3529,3530,739,1715,799,1759,CA,OTHER
3549,3558,946,1718,1232,1759,24492-7961,OTHER
3584,3585,1377,1704,1414,1740,14,OTHER
3587,3591,1449,1703,1506,1735,Other,OTHER
3635,3636,1935,1705,1958,1735,12,OTHER
3638,3638,1963,1704,1976,1734,c,OTHER
3809,3809,2016,1773,2030,1793,K,OTHER
3815,3817,2098,1764,2171,1797,800,OTHER
4000,4002,2096,1874,2165,1911,847,OTHER
4004,4004,115,1933,135,1964,1,OTHER
4006,4015,149,1931,272,1963,Employee's,OTHER
4017,4023,278,1931,366,1960,address,OTHER
4025,4027,371,1931,411,1960,and,OTHER
4029,4031,417,1931,455,1961,ZIP,OTHER
4033,4036,460,1932,521,1962,code,OTHER
4038,4039,110,1954,137,1989,15,OTHER
4041,4045,150,1950,209,1991,State,OTHER
4047,4056,260,1961,379,1992,Employer's,OTHER
4058,4062,385,1961,437,1992,state,OTHER
4064,4065,443,1960,467,1993,ID,OTHER
4067,4072,473,1958,560,1995,number,OTHER
4098,4099,756,1956,788,1994,16,OTHER
4101,4105,795,1957,850,1995,State,OTHER
4107,4112,857,1957,931,1995,"wages,",OTHER
4114,4118,938,1956,983,1995,"tips,",OTHER
4120,4123,989,1955,1037,1995,etc.,OTHER
4127,4128,1123,1954,1154,1994,17,OTHER
4130,4134,1162,1956,1214,1995,State,OTHER
4136,4141,1221,1957,1300,1995,income,OTHER
4143,4145,1306,1955,1344,1993,tax,OTHER
4157,4158,1479,1955,1508,1994,18,OTHER
4160,4164,1515,1956,1571,1995,Local,OTHER
4166,4171,1579,1958,1656,1995,"wages,",OTHER
4173,4177,1662,1958,1707,1995,"tips,",OTHER
4179,4182,1713,1957,1761,1994,etc.,OTHER
4195,4196,1864,1958,1897,1994,19,OTHER
4198,4202,1902,1959,1961,1994,Local,OTHER
4204,4209,1966,1961,2046,1994,income,OTHER
4211,4213,2051,1961,2086,1993,tax,OTHER
4224,4225,2221,1961,2253,1996,20,OTHER
4227,4234,2259,1960,2339,1995,Locality,OTHER
4236,4239,2344,1960,2415,1993,name,OTHER
4243,4244,128,2001,183,2037,RI,OTHER
4259,4268,351,2001,609,2039,146-56-412,OTHER
4301,4307,756,1999,929,2042,121583.,box16StateWagesTips
4309,4310,936,2000,990,2041,04,box16StateWagesTips
4330,4337,1123,2000,1330,2044,12418.23,box17StateIncomeTax
4360,4365,1475,1999,1628,2039,285906,OTHER
4367,4367,1634,2001,1652,2040,.,OTHER
4369,4370,1658,2002,1712,2041,68,OTHER
4398,4402,1868,2000,1991,2041,35231,OTHER
4404,4404,1998,2005,2015,2042,.,OTHER
4406,4407,2023,2006,2069,2043,37,OTHER
4428,4431,2224,2007,2314,2040,West,OTHER
4433,4437,2334,2005,2449,2042,Point,OTHER
4441,4442,127,2090,180,2126,OH,OTHER
4462,4471,348,2087,595,2128,046-31-071,OTHER
4496,4501,752,2087,907,2133,116971,OTHER
4503,4503,914,2086,929,2131,.,OTHER
4505,4506,937,2085,983,2133,22,OTHER
4529,4533,1122,2089,1247,2130,10955,OTHER
4535,4535,1253,2089,1270,2129,.,OTHER
4537,4538,1276,2088,1326,2128,59,OTHER
4559,4564,1475,2089,1629,2129,208738,OTHER
4566,4566,1636,2089,1652,2129,.,OTHER
4568,4569,1659,2089,1708,2131,12,OTHER
4597,4602,1864,2087,2014,2129,25367.,OTHER
4604,4605,2021,2090,2069,2129,93,OTHER
4626,4630,2220,2097,2311,2132,Allen,OTHER
4632,4638,2325,2096,2450,2137,Terrace,OTHER
4664,4667,364,2146,483,2190,Wage,OTHER
4669,4671,489,2147,573,2190,and,OTHER
4673,4675,580,2148,649,2190,Tax,OTHER
4729,4732,1143,2150,1406,2242,2018,taxYear
4784,4793,1757,2157,1904,2192,Department,OTHER
4795,4796,1911,2158,1935,2192,of,OTHER
4798,4800,1941,2158,1986,2192,the,OTHER
4802,4819,1992,2158,2220,2192,Treasury--Internal,OTHER
4821,4827,2226,2158,2347,2192,Revenue,OTHER
4829,4835,2352,2157,2457,2193,Service,OTHER
4837,4840,104,2212,166,2249,Form,OTHER
4842,4844,181,2214,240,2250,W-2,OTHER
4855,4863,361,2203,574,2249,Statement,OTHER
4866,4869,108,2254,182,2292,Copy,OTHER
